,gp_name,n_source_genes,n_non_zero_source_genes,n_target_genes,n_non_zero_target_genes,gp_source_genes,gp_target_genes,gp_source_genes_importances,gp_target_genes_importances
10,ANPEP_ligand_receptor_target_gene_GP,1,1,28,28,['ANPEP'],"['LEF1', 'CD36', 'MMP1', 'TK1', 'CXCL2', 'CCL20', 'APOB', 'F3', 'EGFR', 'IL1B', 'SOX9', 'ETS1', 'CXCL1', 'VCAN', 'CDH1', 'CD14', 'IFNG', 'SOCS3', 'CCL5', 'ID2', 'HES1', 'TNC', 'SERPINE1', 'THBS1', 'TNFAIP3', 'CTNNB1', 'CXCR4', 'CDK6']",[0.4576],"[0.1063, 0.0504, 0.0431, 0.0349, 0.0331, 0.0318, 0.028, 0.0257, 0.022, 0.0214, 0.0182, 0.0156, 0.0147, 0.0136, 0.0129, 0.0118, 0.0102, 0.0092, 0.0083, 0.008, 0.0064, 0.0057, 0.0038, 0.0026, 0.0016, 0.0012, 0.0008, 0.0007]"
45,ANXA1_combined_GP,1,1,28,28,['ANXA1'],"['ADRA2A', 'F3', 'CCL20', 'MMP1', 'ID2', 'SOCS3', 'CXCR4', 'CXCL2', 'CXCL1', 'EGFR', 'SERPINE1', 'IL7R', 'TNFAIP3', 'ETS1', 'SOX9', 'IFNG', 'IL1B', 'THBS1', 'HES1', 'BMP4', 'LEF1', 'RUNX1', 'VCAN', 'CDH1', 'STMN1', 'TNC', 'CDK6', 'CCL5']",[0.4374],"[0.1041, 0.0524, 0.0352, 0.0321, 0.0318, 0.0279, 0.0254, 0.0238, 0.0194, 0.0185, 0.0185, 0.0179, 0.0175, 0.0167, 0.016, 0.0157, 0.0148, 0.0137, 0.0117, 0.0115, 0.0094, 0.0063, 0.0062, 0.0061, 0.005, 0.0023, 0.0023, 0.0005]"
46,APOB_combined_GP,1,1,29,29,['APOB'],"['STMN1', 'APOB', 'LEF1', 'CTNNB1', 'SERPINE1', 'MAF', 'IFNG', 'ID2', 'CEACAM1', 'CXCR4', 'SOCS3', 'TYMS', 'THBS1', 'SOX9', 'CXCL2', 'RUNX1', 'CLU', 'ETS1', 'VCAN', 'CDH1', 'CDK6', 'TNC', 'IL1B', 'HES1', 'CCL5', 'TNFAIP3', 'EGFR', 'BMP4', 'MMP1']",[0.0483],"[0.0957, 0.0808, 0.0807, 0.0768, 0.0735, 0.0645, 0.0535, 0.0511, 0.0475, 0.0434, 0.0381, 0.0319, 0.0297, 0.028, 0.0234, 0.0213, 0.0188, 0.0161, 0.0153, 0.0144, 0.0133, 0.0087, 0.0079, 0.0062, 0.004, 0.0027, 0.0021, 0.0012, 0.0009]"
48,AREG_combined_GP,1,1,12,12,['AREG'],"['CLCA4', 'NXPE4', 'PLN', 'CXCL13', 'PIGR', 'CXCL11', 'CD24', 'SOX9', 'TIMP3', 'EGFR', 'CCL20', 'THBS1']",[0.0517],"[0.1908, 0.1765, 0.1674, 0.1337, 0.1164, 0.0728, 0.0503, 0.0158, 0.0134, 0.0073, 0.0023, 0.0016]"
49,AZGP1_combined_GP,1,1,23,23,['AZGP1'],"['ACTA2', 'SOCS3', 'CXCL1', 'IL1B', 'TNFAIP3', 'RUNX1', 'LEF1', 'BMP4', 'HES1', 'CXCR4', 'ETS1', 'CD36', 'THBS1', 'ID2', 'IFNG', 'VCAN', 'SERPINE1', 'EGFR', 'F3', 'CCL5', 'TNC', 'CDK6', 'CDH1']",[0.0577],"[0.233, 0.1621, 0.0893, 0.0642, 0.0633, 0.0566, 0.0453, 0.0441, 0.027, 0.0254, 0.0245, 0.0239, 0.0214, 0.0154, 0.012, 0.0093, 0.0089, 0.0073, 0.003, 0.0029, 0.0018, 0.0012, 0.0007]"
124,Add-on_13_GP,315,52,188,16,"['PDGFRA', 'CHGA', 'F3', 'REG4', 'SCGN', 'SCG2', 'INSM1', 'CPE', 'FRZB', 'CHGB', 'RAB3B', 'CCDC80', 'CES1', 'PRPH', 'SCG3', 'CADPS', 'CALB2', 'DNASE1L3', 'PDGFRB', 'KIF5C', 'ABCA8', 'ETV1', 'SCG5', 'RUNX1', 'MS4A8', 'NEUROD1', 'SPOCK2', 'DPYSL3', 'SEC11C', 'SOX6', 'TUBA1A', 'FEV', 'FZD7', 'C1QC', 'PIGR', 'ZEB2', 'SOD3', 'RNASE1', 'ID2', 'RFX6', 'TAGLN', 'CTNNB1', 'ADH1C', 'HMGB2', 'CA4', 'FABP2', 'MS4A12', 'NET1', 'TUBB', 'TYMS', 'NXPE4', 'KRT8', 'WFDC2', 'VWA5B2', 'VPREB3', 'UGT2B17', 'UGT2A3', 'UBE2C', 'TRPM5', 'TRGV4', 'TRDV1', 'TRBC2', 'TRBC1', 'TRAT1', 'TRAC', 'TOX', 'TOP2A', 'TNFRSF25', 'TNFRSF17', 'TNFAIP3', 'TMIGD1', 'TMEM61', 'TKT', 'TK1', 'TCL1A', 'TCF21', 'TBC1D4', 'SVOPL', 'SULT1B1', 'STXBP6', 'STMN1', 'SPIB', 'SPDEF', 'SOX9', 'SOX4', 'SOCS3', 'SMOC2', 'SMIM6', 'SMIM14', 'SLC29A4', 'SLC26A3', 'SLC26A2', 'SLC12A2', 'SIT1', 'SH2D7', 'SH2D6', 'SFXN1', 'SELENOM', 'SELENOK', 'SELENBP1', 'SDCBP2', 'SCNN1A', 'S100P', 'RUNX1T1', 'RRM2', 'RPS4Y1', 'RORC', 'RORA', 'ROBO2', 'RNF43', 'RIIAD1', 'RHOV', 'RGS5', 'RGS13', 'RGMB', 'RETNLB', 'REP15', 'RBFOX3', 'RAP1GAP', 'RAB26', 'PTTG1', 'PTPRB', 'PTGER4', 'PSTPIP2', 'PROX1', 'PRF1', 'PRDX4', 'PPP1R1B', 'PLXND1', 'PLVAP', 'PLPP2', 'PLN', 'PLCE1', 'PKHD1L1', 'PI3', 'PDZK1IP1', 'PDE4C', 'PDCD1', 'PCLAF', 'PCDH11X', 'PBK', 'PAX5', 'PAX4', 'OTOP2', 'OLFM4', 'ODF2L', 'NUSAP1', 'NOVA1', 'NOTCH3', 'NOSIP', 'NKX2-2', 'NKG7', 'MYH14', 'MUC12', 'MT1A', 'MSLN', 'MS4A7', 'MS4A2', 'MS4A1', 'MMP3', 'MLPH', 'MKI67', 'MEIS2', 'MCEMP1', 'MBP', 'MB', 'MAOB', 'MAF', 'LYVE1', 'LRMP', 'LMCD1', 'LILRA4', 'LGR5', 'LGALS2', 'LEPROTL1', 'LEF1', 'LCT', 'LAG3', 'L1TD1', 'KRTCAP3', 'KRT86', 'KRT1', 'KLRD1', 'KLRC2', 'KLRB1', 'KLK1', 'KCNAB1', 'ITLN1', 'ITK', 'ISL1', 'IRF8', 'IMPDH2', 'IL7R', 'IL4I1', 'IL1RL1', 'IL1RAPL1', 'IL17RB', 'IFI27', 'IER5', 'IDO1', 'HTR3E', 'HRCT1', 'HPGDS', 'HHIP', 'HES6', 'HES1', 'HEPACAM2', 'HAVCR2', 'GZMK', 'GZMA', 'GREM2', 'GPX2', 'GPRIN3', 'GPRC5C', 'GPR183', 'GNPTAB', 'GNLY', 'GNA11', 'GIMAP7', 'GATA2', 'GALNT8', 'GALNT5', 'FYB1', 'FOXP3', 'FOXA3', 'FKBP11', 'FFAR4', 'FERMT1', 'FCRLA', 'FCRL1', 'ETS1', 'EPHB3', 'EGFR', 'EBPL', 'DUOX2', 'DOCK10', 'DNAJC12', 'DMBT1', 'DERL3', 'DEPP1', 'CYBB', 'CYB5R3', 'CXCR5', 'CXCR4', 'CXCR3', 'CXCR2', 'CXCR1', 'CTSE', 'CTSB', 'CTLA4', 'CST7', 'CRYBA2', 'CREB3L1', 'CR2', 'CPA3', 'CMBL', 'CMA1', 'CLEC9A', 'CLCA4', 'CLCA1', 'CKAP4', 'CHRM3', 'CHP2', 'CHI3L2', 'CFTR', 'CES2', 'CEP126', 'CDKN2B', 'CDK6', 'CDK15', 'CDHR5', 'CDH19', 'CDCA7', 'CD83', 'CD79A', 'CD5', 'CD3G', 'CD3E', 'CD3D', 'CD36', 'CD163', 'CCR7', 'CA7', 'CA2', 'CA1', 'C7', 'C2orf88', 'C1QBP', 'BRCA2', 'BMX', 'BEST4', 'BEST2', 'BCAS1', 'BATF', 'BANK1', 'B3GNT6', 'AVIL', 'ATOH1', 'ASCL2', 'ARX', 'ARHGAP24', 'AQP8', 'AQP1', 'ANXA13', 'ANO7', 'ANK2', 'AKR7A3', 'AKR1C3', 'AGTR1', 'AFAP1L2', 'ADRA2A', 'ACTA2', 'ACKR1', 'ACACB', 'ABCC8']","['CHGA', 'REG4', 'NID1', 'PAPLN', 'SOD3', 'AQP8', 'MS4A8', 'C1QC', 'SEC11C', 'WNT5B', 'IMPDH2', 'CHP2', 'CA4', 'C1QA', 'SPOCK2', 'CDHR5', 'WFDC2', 'VWA5B2', 'VPREB3', 'UGT2B17', 'UGT2A3', 'UCN3', 'TRPM5', 'TRGV4', 'TRDV1', 'TRBC2', 'TRAT1', 'TRAC', 'TPSG1', 'TOX', 'TNFRSF25', 'TMIGD1', 'TMEM61', 'TKT', 'TIGIT', 'TCL1A', 'TCF21', 'SVOPL', 'STXBP6', 'SPDEF', 'SOX6', 'SNCA', 'SMOC2', 'SMIM6', 'SLC29A4', 'SLC18A2', 'SLC12A2', 'SH2D7', 'SH2D6', 'SFXN1', 'SELENOM', 'SELENOK', 'SDCBP2', 'SCGN', 'SCG3', 'RUNX1T1', 'RSPO3', 'RPS4Y1', 'RORC', 'ROBO2', 'ROBO1', 'RNASE1', 'RIIAD1', 'RHOV', 'RGS5', 'RGS13', 'RFX6', 'REP15', 'RBFOX3', 'RARRES2', 'RAB3B', 'RAB26', 'PRPH', 'PROX1', 'PRDX4', 'PPP1R1B', 'PLVAP', 'PKHD1L1', 'PDE4C', 'PCDH11X', 'PAX4', 'OTOP2', 'ODF2L', 'NRXN1', 'NRG3', 'NOVA1', 'NOSIP', 'NKG7', 'NET1', 'MYH14', 'MUC12', 'MT1A', 'MS4A7', 'MS4A2', 'MS4A12', 'MS4A1', 'MLPH', 'MFAP5', 'MCEMP1', 'MB', 'LYVE1', 'LRMP', 'LMCD1', 'LILRA4', 'LGALS9', 'LGALS2', 'LEPROTL1', 'L1TD1', 'KRTCAP3', 'KRT1', 'KLRC2', 'KLRB1', 'KIF5C', 'KCNAB1', 'IL1RAPL1', 'IL17RB', 'IFI27', 'ICOS', 'HTR3E', 'HRCT1', 'HPGDS', 'HHLA2', 'HES6', 'HEPACAM2', 'HDC', 'GZMK', 'GZMA', 'GUCA2B', 'GPRIN3', 'GNPTAB', 'GNLY', 'GNA11', 'GIMAP7', 'GCG', 'GALNT8', 'GALNT5', 'FOXA3', 'FKBP11', 'FFAR4', 'FEV', 'FCRLA', 'FCRL1', 'EPHB3', 'EBPL', 'DUOX2', 'DOCK10', 'DNAJC12', 'DERL3', 'DEPP1', 'CYBB', 'CYB5R3', 'CTSG', 'CTSE', 'CRYBA2', 'CREB3L1', 'CPA3', 'CMA1', 'CLEC9A', 'CLCA1', 'CHI3L2', 'CHGB', 'CES2', 'CEP126', 'CDK15', 'CDH19', 'CD8B', 'CD7', 'CD3G', 'CD2', 'CD177', 'CADM2', 'CA7', 'CA1', 'C2orf88', 'BEST4', 'BEST2', 'BCAS1', 'BANK1', 'B3GNT6', 'AVIL', 'ASCL2', 'ARX', 'AQP1', 'ANXA13', 'ANO7', 'ANK2', 'AKR7A3', 'ABCC8']","[0.0831, 0.0759, 0.0697, 0.0528, 0.0459, 0.0427, 0.0385, 0.0382, 0.0378, 0.0351, 0.0321, 0.0313, 0.027, 0.0261, 0.0244, 0.0195, 0.0188, 0.0184, 0.0168, 0.0164, 0.0159, 0.0138, 0.0136, 0.013, 0.0112, 0.0072, 0.0071, 0.0061, 0.0056, 0.0045, 0.0039, 0.0038, 0.0032, 0.003, 0.0028, 0.0026, 0.0025, 0.0025, 0.0021, 0.0014, 0.0014, 0.0013, 0.0012, 0.0011, 0.0009, 0.0004, 0.0004, 0.0003, 1e-04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0602, 0.0294, 0.0096, 0.009, 0.0019, 0.0019, 0.0015, 0.0012, 0.0006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
