gene,old_mean_log1p_CP10K,new_mean_log1p_CP10K,delta_new_minus_old,old_total,new_total,abs_delta
RPS18,5.21192,0.0,-5.21192,197106.0,0.0,5.21192
RPS2,5.049333,0.000332112,-5.049001,175168.0,1.0,5.049001
RPS3A,4.556853,0.0,-4.556853,105565.0,0.0,4.556853
RPS9,4.13037,0.000117459254,-4.130253,67356.0,1.0,4.130253
RPL7A,4.088072,0.0,-4.088072,66587.0,0.0,4.088072
RPS25,3.8754973,0.0,-3.8754973,51253.0,0.0,3.8754973
MALAT1,5.017873,1.3433862,-3.6744866,169806.0,6976.0,3.6744866
ACTG1,3.4113905,0.0,-3.4113905,34283.0,0.0,3.4113905
EEF1B2,3.3354058,0.0,-3.3354058,32260.0,0.0,3.3354058
EEF1A1,5.0180354,2.1376448,-2.8803906,169444.0,21727.0,2.8803906
RPS17,2.8699162,0.0012220053,-2.8686943,25358.0,5.0,2.8686943
EEF1D,2.2194586,0.023181727,-2.196277,9476.0,57.0,2.196277
CFL1,2.1897101,0.052096877,-2.1376133,10133.0,166.0,2.1376133
RPL22,3.4477262,1.3715844,-2.0761418,33457.0,9085.0,2.0761418
RPL41,5.2383313,3.1855447,-2.0527866,202021.0,68585.0,2.0527866
B2M,1.9724444,0.0012203079,-1.9712241,8226.0,5.0,1.9712241
EIF3L,1.9722046,0.072240144,-1.8999645,7714.0,191.0,1.8999645
LDHA,1.8308839,0.0,-1.8308839,7917.0,0.0,1.8308839
PPIA,2.5147996,0.7023968,-1.8124027,14068.0,3078.0,1.8124027
COX6A1,1.9663472,0.2103264,-1.7560208,7222.0,911.0,1.7560208
RPL39,4.6135154,2.879067,-1.7344484,115385.0,49862.0,1.7344484
TMEM141,1.8202016,0.20503058,-1.6151711,6876.0,744.0,1.6151711
SPINT2,1.6348333,0.05313078,-1.5817026,5183.0,160.0,1.5817026
LDHB,2.281246,0.78529334,-1.4959526,11174.0,3597.0,1.4959526
HMGN2,1.7901891,0.32565945,-1.4645298,6828.0,935.0,1.4645298
EIF4A1,1.4015188,0.0009925505,-1.4005263,3925.0,2.0,1.4005263
LGALS4,1.3660232,0.0,-1.3660232,8076.0,0.0,1.3660232
EIF5A,1.3368421,0.0,-1.3368421,4046.0,0.0,1.3368421
STMN1,1.3963957,0.09378453,-1.3026111,4388.0,275.0,1.3026111
CLTA,1.4635031,0.16283384,-1.3006693,4364.0,559.0,1.3006693
MGST1,1.275759,0.0083277915,-1.2674311,3374.0,30.0,1.2674311
HNRNPA1,3.2535167,2.002267,-1.2512498,28907.0,12839.0,1.2512498
RPL15,4.1732955,2.9333532,-1.2399423,71472.0,36806.0,1.2399423
SELENOH,1.2779227,0.087268546,-1.1906542,3323.0,281.0,1.1906542
DDT,1.164816,0.0038918129,-1.1609242,3068.0,16.0,1.1609242
RPL17,1.919631,0.7605722,-1.1590588,8708.0,2513.0,1.1590588
COX7A2L,1.1754339,0.01958294,-1.1558509,2972.0,52.0,1.1558509
RBMX,1.4302872,0.27448466,-1.1558026,4002.0,755.0,1.1558026
RHOA,1.136834,0.007421662,-1.1294124,2908.0,30.0,1.1294124
HLA-A,1.1259859,0.003402932,-1.1225829,2967.0,11.0,1.1225829
NOP10,1.1152514,0.0,-1.1152514,2771.0,0.0,1.1152514
POLR1D,1.1337183,0.039723817,-1.0939944,2838.0,96.0,1.0939944
FTH1,3.5136817,2.4364412,-1.0772405,36460.0,24305.0,1.0772405
PSMA1,1.0909414,0.015127679,-1.0758138,2663.0,44.0,1.0758138
HINT1,2.597894,1.5339434,-1.0639505,14715.0,9774.0,1.0639505
CLNS1A,1.0971555,0.042104077,-1.0550513,2677.0,120.0,1.0550513
ARL6IP4,1.1206934,0.0727405,-1.0479529,2746.0,191.0,1.0479529
CSNK2B,1.0404098,0.0,-1.0404098,2415.0,0.0,1.0404098
SERPINA1,1.02438,0.035935316,-0.9884446,2702.0,71.0,0.9884446
NDUFB5,1.0311668,0.04964244,-0.98152435,2439.0,118.0,0.98152435
CCNG1,1.0219376,0.05016752,-0.9717701,2410.0,108.0,0.9717701
RNF7,0.97510725,0.01898931,-0.9561179,2164.0,52.0,0.9561179
CANX,0.94761074,0.004135665,-0.94347507,2184.0,10.0,0.94347507
CDC42,0.9627715,0.02495041,-0.9378211,2262.0,63.0,0.9378211
NDUFA3,0.929339,0.0014692993,-0.9278697,2181.0,4.0,0.9278697
NDUFA13,1.0499023,0.12547278,-0.92442954,2510.0,517.0,0.92442954
FKBP2,0.9069533,0.016172862,-0.8907804,1964.0,57.0,0.8907804
MRPL12,0.87941563,0.006251338,-0.8731643,1967.0,21.0,0.8731643
PSMA2,0.87055355,0.0003414852,-0.8702121,1991.0,1.0,0.8702121
RAB1A,0.89711016,0.028970923,-0.86813927,2070.0,86.0,0.86813927
SNHG7,1.1441524,0.27662027,-0.86753213,3142.0,566.0,0.86753213
HSPA1A,0.86583525,0.0,-0.86583525,4210.0,0.0,0.86583525
PDCD6,0.86298484,0.0,-0.86298484,1896.0,0.0,0.86298484
KCNQ1OT1,0.85362303,0.001826064,-0.851797,1947.0,7.0,0.851797
NDUFA10,0.8955684,0.046625897,-0.84894246,1961.0,161.0,0.84894246
FXYD3,0.8525164,0.0101429485,-0.8423735,2615.0,28.0,0.8423735
NPC2,1.442583,0.6110686,-0.83151436,4229.0,2308.0,0.83151436
SULT1E1,0.87150484,0.048776396,-0.82272846,2144.0,163.0,0.82272846
COX8A,1.3705564,0.55711645,-0.8134399,3889.0,2237.0,0.8134399
CIRBP,1.6012652,0.7948755,-0.8063897,5060.0,2744.0,0.8063897
RPS29,4.164938,3.361185,-0.8037529,75564.0,53576.0,0.8037529
JTB,0.99980336,0.2125085,-0.78729486,2351.0,709.0,0.78729486
CTSB,0.7870806,0.008833151,-0.7782474,1692.0,34.0,0.7782474
CTNNB1,0.79900146,0.02464685,-0.7743546,1774.0,36.0,0.7743546
MYDGF,0.76742566,0.017533228,-0.7498924,1664.0,34.0,0.7498924
ATP1A1,1.0090314,0.26205257,-0.7469789,2395.0,845.0,0.7469789
RAB7A,0.7609392,0.022705618,-0.73823357,1625.0,56.0,0.73823357
SDHD,0.7378802,0.008593486,-0.7292867,1627.0,8.0,0.7292867
RAB13,0.7307845,0.010909183,-0.7198753,1473.0,46.0,0.7198753
SUPT4H1,0.7372258,0.022636613,-0.7145892,1493.0,52.0,0.7145892
HLA-C,0.7231498,0.008766806,-0.71438295,1775.0,12.0,0.71438295
NME4,0.88925254,0.180479,-0.70877355,2051.0,420.0,0.70877355
ID3,0.70041966,0.0,-0.70041966,2006.0,0.0,0.70041966
DDAH2,0.67609274,0.0,-0.67609274,1332.0,0.0,0.67609274
GTF2H5,0.7881781,0.112484105,-0.675694,1621.0,360.0,0.675694
LAMTOR4,0.9646003,0.31820044,-0.64639986,2166.0,1149.0,0.64639986
PABPC1,2.5569596,1.9147264,-0.64223325,14299.0,12247.0,0.64223325
ERBB3,0.65473026,0.0130350385,-0.6416952,1332.0,28.0,0.6416952
SLC39A4,0.6318075,0.0,-0.6318075,1345.0,0.0,0.6318075
SYNCRIP,0.625693,0.0038617111,-0.6218313,1252.0,12.0,0.6218313
G3BP1,0.6413389,0.023252388,-0.6180865,1327.0,70.0,0.6180865
CD151,0.6488207,0.031720214,-0.6171005,1328.0,110.0,0.6171005
SMARCB1,0.603805,0.0,-0.603805,1208.0,0.0,0.603805
OARD1,0.62402314,0.024828793,-0.59919435,1219.0,57.0,0.59919435
ARL6IP1,0.7256147,0.14896451,-0.5766502,1666.0,476.0,0.5766502
ARPC3,1.3563218,0.7871946,-0.5691272,3725.0,3249.0,0.5691272
ARL2,0.632056,0.06719249,-0.5648635,1269.0,220.0,0.5648635
PTP4A1,0.5565068,0.0,-0.5565068,1161.0,0.0,0.5565068
PGAM1,0.7103284,0.16174674,-0.54858166,1628.0,677.0,0.54858166
PMF1,0.5628883,0.015366377,-0.54752195,1047.0,48.0,0.54752195
GCNT1,0.5649346,0.017654913,-0.5472797,1108.0,71.0,0.5472797
ITM2B,1.4661299,0.9191475,-0.5469824,4441.0,3549.0,0.5469824
CYSTM1,1.0018737,0.45651925,-0.5453545,2521.0,1954.0,0.5453545
MCL1,0.57352877,0.02817658,-0.54535216,1605.0,52.0,0.54535216
ARPC4,0.58282083,0.03832682,-0.54449403,1147.0,91.0,0.54449403
CTSC,0.6190288,0.082750455,-0.53627837,1190.0,280.0,0.53627837
MALL,0.53978753,0.0039229468,-0.5358646,1122.0,5.0,0.5358646
DAZAP2,0.63383114,0.09881645,-0.5350147,1261.0,254.0,0.5350147
CHCHD10,0.53273785,0.0,-0.53273785,1196.0,0.0,0.53273785
MT1X,1.602527,1.0707481,-0.53177893,9359.0,6373.0,0.53177893
NAP1L4,0.5309234,0.0012391695,-0.52968425,992.0,4.0,0.52968425
NDRG1,0.53205013,0.008166041,-0.5238841,1049.0,35.0,0.5238841
RAB5C,0.52903944,0.008297392,-0.52074206,1025.0,32.0,0.52074206
NME1,1.0255514,0.51368606,-0.5118654,2616.0,2023.0,0.5118654
PPP2CA,0.5112938,0.0032537961,-0.50804,1022.0,7.0,0.50804
FKBP4,0.60377824,0.10278975,-0.5009885,1237.0,293.0,0.5009885
CES2,0.5643411,0.06808363,-0.49625748,1271.0,234.0,0.49625748
YTHDC1,0.49095294,0.0,-0.49095294,946.0,0.0,0.49095294
ATP1B1,0.75923574,0.27335614,-0.4858796,1634.0,701.0,0.4858796
SH3YL1,0.7260014,0.24226613,-0.48373526,1548.0,669.0,0.48373526
BORCS7,0.4911791,0.0076012067,-0.4835779,938.0,23.0,0.4835779
NFE2L2,0.54560107,0.062504746,-0.48309633,1046.0,90.0,0.48309633
EEF1E1,0.49246627,0.027185574,-0.4652807,913.0,90.0,0.4652807
SRSF6,0.4743427,0.009334335,-0.46500838,901.0,31.0,0.46500838
KRTCAP2,0.5894149,0.12669763,-0.46271726,1250.0,406.0,0.46271726
ARPC1A,0.59512347,0.13345446,-0.46166903,1196.0,408.0,0.46166903
TSEN34,0.46151996,0.0,-0.46151996,874.0,0.0,0.46151996
PNKD,0.6342386,0.18221886,-0.45201975,1224.0,572.0,0.45201975
MRPL43,0.54132605,0.09052681,-0.45079923,998.0,269.0,0.45079923
DNAJB6,0.5848143,0.13698131,-0.447833,1125.0,345.0,0.447833
SEC13,0.5176304,0.07493777,-0.44269264,1025.0,235.0,0.44269264
HDDC2,0.60533327,0.16479363,-0.44053966,1242.0,535.0,0.44053966
CD68,0.48540962,0.04961657,-0.43579304,1016.0,114.0,0.43579304
HNRNPH1,0.8078094,0.3760484,-0.43176103,1858.0,1075.0,0.43176103
GPI,0.48734835,0.060436726,-0.42691162,994.0,174.0,0.42691162
LAD1,0.5419264,0.11564441,-0.426282,1132.0,308.0,0.426282
TRIM2,0.42391145,0.0014528681,-0.4224586,819.0,5.0,0.4224586
RPL26,4.39669,3.974613,-0.42207694,89342.0,93332.0,0.42207694
NBEAL1,0.48888725,0.071314044,-0.4175732,945.0,203.0,0.4175732
UQCRC2,1.2170231,0.80826163,-0.4087615,3172.0,3279.0,0.4087615
CMPK1,0.42476693,0.016100533,-0.4086664,806.0,40.0,0.4086664
EPN1,0.4172145,0.009021206,-0.40819332,759.0,15.0,0.40819332
RGMB,0.45772755,0.05116345,-0.40656412,889.0,116.0,0.40656412
CMBL,0.41379076,0.010242937,-0.40354782,781.0,35.0,0.40354782
SURF6,0.40129587,0.0,-0.40129587,727.0,0.0,0.40129587
COQ8A,0.40085423,0.0,-0.40085423,728.0,0.0,0.40085423
IFRD1,0.39782956,0.0,-0.39782956,804.0,0.0,0.39782956
ELAVL1,0.42454186,0.029845975,-0.39469588,792.0,76.0,0.39469588
CST3,1.887649,1.4954076,-0.39224148,6987.0,7796.0,0.39224148
DLD,0.42944962,0.037787743,-0.39166188,766.0,108.0,0.39166188
MRPL42,0.6812886,0.29052147,-0.39076713,1391.0,868.0,0.39076713
CDC26,0.39383534,0.0040499545,-0.38978538,725.0,14.0,0.38978538
VKORC1,0.38931906,0.0016218489,-0.38769722,719.0,5.0,0.38769722
NPM1,3.287476,2.9036388,-0.38383722,29144.0,30919.0,0.38383722
NREP,0.4000185,0.01640572,-0.38361278,727.0,24.0,0.38361278
RPS21,3.4285805,3.8104947,0.38191414,36681.0,88060.0,0.38191414
RBBP7,0.50064474,0.12016499,-0.38047975,960.0,396.0,0.38047975
ZNF706,0.6998093,0.31998062,-0.3798287,1446.0,996.0,0.3798287
HINT2,0.39312404,0.017262435,-0.37586161,695.0,79.0,0.37586161
QDPR,0.4100961,0.037439696,-0.3726564,795.0,86.0,0.3726564
RPL36A,2.7872217,2.415405,-0.37181664,18714.0,19111.0,0.37181664
SYNJ2BP,0.37048382,0.0,-0.37048382,668.0,0.0,0.37048382
HIGD1A,0.36788628,0.0018162675,-0.36607,699.0,8.0,0.36607
GOLGA4,0.6449774,0.28157148,-0.3634059,1287.0,735.0,0.3634059
MPDU1,0.36717948,0.0062619564,-0.36091754,659.0,28.0,0.36091754
NCBP2,0.682636,0.32598466,-0.35665137,1397.0,891.0,0.35665137
MED4,0.46650392,0.11315033,-0.3533536,815.0,348.0,0.3533536
GATA6-AS1,0.44128177,0.08836412,-0.35291764,768.0,189.0,0.35291764
RPS28,4.308596,3.9558494,-0.35274673,83835.0,100272.0,0.35274673
UNG,0.3809492,0.031259112,-0.34969008,794.0,95.0,0.34969008
HOOK2,0.5847586,0.23585534,-0.34890324,1110.0,661.0,0.34890324
KIF12,0.40144837,0.054256402,-0.34719196,681.0,115.0,0.34719196
TSPYL1,0.36145583,0.015598457,-0.34585738,682.0,27.0,0.34585738
COX11,0.47493494,0.13125205,-0.3436829,860.0,396.0,0.3436829
DHX15,0.42492977,0.08680221,-0.33812755,747.0,241.0,0.33812755
CHURC1,0.5446201,0.20732364,-0.33729646,1061.0,842.0,0.33729646
PCLAF,0.33984086,0.0025713642,-0.33726948,904.0,15.0,0.33726948
UBE2E3,0.3420172,0.005295811,-0.3367214,595.0,14.0,0.3367214
RPS14,4.6464157,4.98242,0.33600426,114654.0,226007.0,0.33600426
PA2G4,1.2311965,0.89600974,-0.33518678,3408.0,3936.0,0.33518678
TMBIM4,0.5854997,0.25060213,-0.33489758,1136.0,802.0,0.33489758
LRRC61,0.33506396,0.0010779536,-0.333986,570.0,4.0,0.333986
RPL10A,4.2419558,4.573732,0.33177614,76907.0,162561.0,0.33177614
RPS4X,4.3573694,4.688403,0.3310337,87157.0,180112.0,0.3310337
HBG2,0.33038005,0.0,-0.33038005,694.0,0.0,0.33038005
TMEM223,0.3406204,0.011267791,-0.32935262,609.0,29.0,0.32935262
NDUFA12,0.90272516,0.5738845,-0.32884067,1996.0,2067.0,0.32884067
TMC4,0.32787147,0.0,-0.32787147,596.0,0.0,0.32787147
GALM,0.35322222,0.026473656,-0.32674855,614.0,55.0,0.32674855
OCLN,0.33039123,0.005507511,-0.32488373,576.0,10.0,0.32488373
NECTIN2,0.5269934,0.20414518,-0.3228482,1008.0,603.0,0.3228482
KPNB1,0.65859765,0.33610433,-0.3224933,1325.0,929.0,0.3224933
GAPDH,3.5179398,3.8358204,0.31788063,37950.0,83094.0,0.31788063
FABP5,1.2397883,0.92195964,-0.31782866,3546.0,3591.0,0.31782866
SVIP,0.40330604,0.086476676,-0.31682935,771.0,273.0,0.31682935
FAM200B,0.35031375,0.03397747,-0.31633627,633.0,109.0,0.31633627
C11orf54,0.35725838,0.04118169,-0.3160767,651.0,85.0,0.3160767
RPS19,4.7013755,5.0165687,0.31519318,116438.0,245893.0,0.31519318
NDUFA7,0.32514486,0.011381245,-0.31376362,598.0,28.0,0.31376362
LRRC41,0.32093307,0.009419151,-0.31151393,562.0,29.0,0.31151393
M6PR,0.3590523,0.047584854,-0.31146744,648.0,123.0,0.31146744
PDXDC1,0.30931926,0.00062815676,-0.3086911,575.0,3.0,0.3086911
SLC44A1,0.33020788,0.02258261,-0.30762526,612.0,48.0,0.30762526
NACA,3.3394098,3.6464112,0.30700135,30537.0,60035.0,0.30700135
HILPDA,0.30698168,0.0,-0.30698168,555.0,0.0,0.30698168
MT-CYB,3.618722,3.925175,0.306453,43459.0,91081.0,0.306453
FTL,4.050842,4.3568163,0.30597448,64093.0,142021.0,0.30597448
RPS6,4.7844377,5.0901866,0.30574894,130271.0,263521.0,0.30574894
RPS5,4.010119,4.31541,0.30529118,60931.0,117425.0,0.30529118
COMMD10,0.31179988,0.007986243,-0.30381364,546.0,31.0,0.30381364
ALDOA,0.31383368,0.015277309,-0.2985564,694.0,30.0,0.2985564
FDFT1,0.29893064,0.0004432672,-0.29848737,533.0,2.0,0.29848737
DDX3X,0.3531825,0.054884195,-0.2982983,618.0,122.0,0.2982983
RPS11,3.3228536,3.6205194,0.29766583,30719.0,70084.0,0.29766583
MTG1,0.0741919,0.3709671,0.2967752,125.0,1092.0,0.2967752
RPL11,4.470614,4.76731,0.2966962,93823.0,190416.0,0.2966962
PIGT,0.30814674,0.012631949,-0.2955148,531.0,31.0,0.2955148
CTNND1,0.4055049,0.110140815,-0.29536408,741.0,289.0,0.29536408
RPL12,4.5854745,4.8807235,0.295249,106271.0,208544.0,0.295249
GCA,0.34080863,0.046209786,-0.29459885,604.0,119.0,0.29459885
C12orf75,0.30114773,0.0073372875,-0.29381043,543.0,8.0,0.29381043
RPL19,4.0839276,4.377334,0.2934065,64666.0,126581.0,0.2934065
RPS8,4.5960774,4.8891625,0.2930851,108027.0,216309.0,0.2930851
FAU,3.2180095,3.5082679,0.2902584,26974.0,56421.0,0.2902584
ELOF1,0.31416935,0.024691839,-0.2894775,516.0,80.0,0.2894775
FGD5-AS1,0.2930733,0.0045094094,-0.28856388,496.0,19.0,0.28856388
SPTLC1,0.302662,0.0141216535,-0.28854033,518.0,42.0,0.28854033
RPL8,4.235785,4.523548,0.28776312,74437.0,143355.0,0.28776312
RMND1,0.31387225,0.026132056,-0.2877402,541.0,78.0,0.2877402
RPS27A,4.47837,4.7641506,0.28578043,95814.0,186788.0,0.28578043
MGST3,1.3192762,1.0346537,-0.28462255,3589.0,4030.0,0.28462255
TERF2IP,0.3492968,0.06670022,-0.2825966,594.0,120.0,0.2825966
EXOSC3,0.30518666,0.023138711,-0.28204796,503.0,58.0,0.28204796
RPL24,3.5140824,3.7933276,0.27924514,36552.0,72702.0,0.27924514
RPS16,3.6705198,3.9481318,0.27761197,42996.0,84558.0,0.27761197
MT-CO2,4.1626444,4.4390216,0.2763772,78566.0,164744.0,0.2763772
ACADM,0.34863272,0.07271934,-0.2759134,621.0,156.0,0.2759134
NUDT21,0.444687,0.17280063,-0.27188638,834.0,416.0,0.27188638
UBE2L3,0.80906737,0.5402883,-0.26877904,1717.0,1799.0,0.26877904
NSL1,0.3075438,0.0388518,-0.26869202,545.0,98.0,0.26869202
TSG101,0.471935,0.20349847,-0.26843655,865.0,636.0,0.26843655
RPS12,4.623374,4.8904686,0.2670946,112958.0,234196.0,0.2670946
CREG1,0.29567346,0.029511312,-0.26616216,510.0,34.0,0.26616216
AGR2,3.3174078,3.5829098,0.26550198,32798.0,69152.0,0.26550198
THUMPD3-AS1,0.34709603,0.08507301,-0.26202303,591.0,263.0,0.26202303
CRK,0.26133716,0.0,-0.26133716,460.0,0.0,0.26133716
UQCRH,2.3106205,2.571409,0.26078844,10551.0,21184.0,0.26078844
KRT18,2.682969,2.9429371,0.25996804,19602.0,49708.0,0.25996804
DNAJC9,0.29493785,0.036855884,-0.25808197,542.0,91.0,0.25808197
JPX,0.32390434,0.06688588,-0.25701845,577.0,188.0,0.25701845
RBFA,0.269342,0.012486234,-0.2568558,458.0,32.0,0.2568558
COQ9,0.33179918,0.07505382,-0.25674537,575.0,216.0,0.25674537
RAB3IP,0.33570313,0.07903556,-0.25666758,571.0,227.0,0.25666758
UROS,0.30754423,0.050891854,-0.25665238,531.0,132.0,0.25665238
SUCLG1,1.6981609,1.9538859,0.25572503,5629.0,12561.0,0.25572503
RPL34,4.74877,5.004389,0.25561857,122269.0,249859.0,0.25561857
IER3,0.25512117,0.0,-0.25512117,734.0,0.0,0.25512117
NUP54,0.27174196,0.016789485,-0.25495246,460.0,29.0,0.25495246
TIA1,0.2917216,0.038050998,-0.2536706,497.0,124.0,0.2536706
TSPAN8,3.4148169,3.6680522,0.25323534,37874.0,92001.0,0.25323534
WDR46,0.25289118,0.0,-0.25289118,429.0,0.0,0.25289118
GSTP1,2.688963,2.941274,0.252311,16437.0,33400.0,0.252311
PPHLN1,0.39935374,0.14854813,-0.25080562,714.0,466.0,0.25080562
CAMK2D,0.2757636,0.02599681,-0.2497668,467.0,52.0,0.2497668
RSL1D1,1.6142967,1.8618135,0.24751687,5078.0,10064.0,0.24751687
CKS1B,0.5625643,0.3163789,-0.24618542,1191.0,851.0,0.24618542
TPI1,2.175774,2.4213698,0.2455957,9702.0,20772.0,0.2455957
RPL32,4.6124415,4.8567214,0.24427986,109063.0,206946.0,0.24427986
RPL38,3.2245388,3.4658074,0.24126863,28213.0,59873.0,0.24126863
TXN,2.6441252,2.8853114,0.24118614,15224.0,30895.0,0.24118614
MT-ND4,4.2002783,4.4411535,0.24087524,80001.0,168942.0,0.24087524
RPL35,4.0300627,4.2701225,0.24005985,59046.0,117124.0,0.24005985
ETFB,1.3529868,1.5928208,0.23983395,3614.0,7738.0,0.23983395
TIMM13,1.5933077,1.8330904,0.23978269,4955.0,10297.0,0.23978269
UQCR11,1.4078277,1.1681018,-0.23972595,4103.0,5231.0,0.23972595
DHCR7,0.24011303,0.00052410265,-0.23958893,428.0,3.0,0.23958893
CCL25,2.1302857,2.369663,0.23937726,14876.0,37859.0,0.23937726
RPLP2,4.077275,4.316064,0.23878908,64406.0,127098.0,0.23878908
BSG,1.8253021,2.0630765,0.23777437,6329.0,12791.0,0.23777437
MT-ND5,1.9808822,2.2178931,0.23701096,8641.0,19222.0,0.23701096
NDUFB11,1.4374781,1.6742833,0.2368052,4082.0,8885.0,0.2368052
MVB12A,0.30659652,0.069851466,-0.23674506,530.0,249.0,0.23674506
NUP62,0.23938689,0.0029294386,-0.23645745,410.0,12.0,0.23645745
RPL35A,4.1339703,4.369414,0.23544359,66867.0,131078.0,0.23544359
CSNK1D,0.2476782,0.012253021,-0.23542519,441.0,40.0,0.23542519
PXMP2,0.24109843,0.0064352173,-0.23466322,424.0,9.0,0.23466322
ZNF503,0.23377606,0.0,-0.23377606,400.0,0.0,0.23377606
SPCS2,0.99445146,0.76097983,-0.23347163,2300.0,2753.0,0.23347163
GNPDA1,0.28052372,0.047448516,-0.2330752,491.0,149.0,0.2330752
GGPS1,0.23312868,0.0002044222,-0.23292425,412.0,1.0,0.23292425
DDR1,0.2338075,0.0009051507,-0.23290235,373.0,1.0,0.23290235
LYRM2,0.26477966,0.03236609,-0.23241356,448.0,95.0,0.23241356
NDUFS5,1.7746178,2.0065355,0.23191774,5937.0,13048.0,0.23191774
RPL3,4.6478453,4.878915,0.23106956,114695.0,210870.0,0.23106956
CCDC47,0.41337278,0.18305458,-0.2303182,718.0,547.0,0.2303182
NEU1,0.22999041,0.0,-0.22999041,409.0,0.0,0.22999041
ERGIC3,1.1560549,1.3854048,0.22934997,2900.0,6388.0,0.22934997
ZNF33B,0.257124,0.028476192,-0.22864781,440.0,72.0,0.22864781
TMSB10,3.6635084,3.8918998,0.22839141,42171.0,87166.0,0.22839141
CLU,1.8739552,2.1019692,0.22801399,7944.0,19512.0,0.22801399
TENT5A,0.23169596,0.0055339234,-0.22616205,468.0,17.0,0.22616205
KLF6,0.68230337,0.4562876,-0.22601578,2257.0,2582.0,0.22601578
ATP5F1A,1.7951269,2.0210984,0.22597146,6439.0,11788.0,0.22597146
COX7A2,1.8192065,2.0450466,0.22584009,6493.0,13840.0,0.22584009
ENO1,2.0636039,2.288614,0.22501016,9013.0,19135.0,0.22501016
RPL28,4.194145,4.4177485,0.22360325,72633.0,141732.0,0.22360325
FXN,0.2378318,0.01444403,-0.22338778,421.0,36.0,0.22338778
RAN,2.016942,2.2400265,0.22308445,8167.0,16390.0,0.22308445
WEE1,0.23433055,0.011260745,-0.2230698,419.0,22.0,0.2230698
RPL18,3.9022722,4.125299,0.22302675,53945.0,103456.0,0.22302675
DRG1,0.39453253,0.17191075,-0.22262178,704.0,560.0,0.22262178
SMIM12,0.22567114,0.0036997523,-0.2219714,396.0,5.0,0.2219714
SLC26A2,0.22350867,0.003897313,-0.21961136,486.0,16.0,0.21961136
FAHD1,0.35089883,0.13134322,-0.21955562,644.0,407.0,0.21955562
PPAN,0.21931392,0.0,-0.21931392,381.0,0.0,0.21931392
EIF3G,1.0398184,1.2590709,0.21925247,2472.0,5806.0,0.21925247
NME2,0.23798774,0.0190093,-0.21897843,577.0,64.0,0.21897843
CFI,0.2525909,0.033613693,-0.2189772,484.0,140.0,0.2189772
FAM3C,0.41000238,0.19192041,-0.21808197,789.0,589.0,0.21808197
MT-CO3,4.350727,4.5686946,0.21796751,92667.0,182052.0,0.21796751
RPS20,3.643282,3.860259,0.21697712,42079.0,84514.0,0.21697712
TOMM7,2.1566238,2.3721685,0.2155447,9138.0,17874.0,0.2155447
LGALS3,2.2321024,2.4471633,0.21506095,12196.0,26229.0,0.21506095
RPS15,4.2798104,4.4948287,0.21501827,75324.0,142673.0,0.21501827
ZNF91,0.23942691,0.02530855,-0.21411836,413.0,66.0,0.21411836
GDI2,1.3419963,1.5547056,0.21270931,3813.0,7875.0,0.21270931
CRELD1,0.21840417,0.005803919,-0.21260026,356.0,9.0,0.21260026
ATP5MC1,1.4666983,1.6782817,0.21158338,4528.0,10158.0,0.21158338
BRI3,0.22162367,0.010598294,-0.21102539,400.0,20.0,0.21102539
PRDX6,1.5803888,1.7905169,0.21012807,4765.0,9163.0,0.21012807
TPT1,3.6829665,3.8930302,0.2100637,46781.0,80192.0,0.2100637
LINC00665,0.24971817,0.03973007,-0.2099881,443.0,99.0,0.2099881
SZRD1,0.2103751,0.00069283316,-0.20968227,372.0,1.0,0.20968227
TMED7,0.20887241,0.0,-0.20887241,353.0,0.0,0.20887241
UBB,2.3713677,2.5800874,0.20871973,11445.0,24595.0,0.20871973
RPLP1,4.7231135,4.9308486,0.20773506,123066.0,236248.0,0.20773506
EIF3D,1.2762238,1.4837453,0.20752156,3373.0,6866.0,0.20752156
LGALS2,1.6643002,1.8716593,0.20735908,5989.0,13828.0,0.20735908
RPL29,4.2618494,4.46894,0.20709038,77394.0,141915.0,0.20709038
MPC2,1.3269447,1.5337672,0.20682251,3573.0,6923.0,0.20682251
EHMT2,0.20677516,0.0,-0.20677516,326.0,0.0,0.20677516
ARF3,0.22035505,0.013783716,-0.20657134,381.0,43.0,0.20657134
ALKBH7,1.0522022,1.2586809,0.20647871,2563.0,5727.0,0.20647871
S100A10,2.7888656,2.9948697,0.20600414,18712.0,32295.0,0.20600414
CYBA,1.559842,1.7650603,0.20521832,4796.0,10128.0,0.20521832
BLCAP,0.21062878,0.005442131,-0.20518665,377.0,13.0,0.20518665
NUDT14,0.30839527,0.10327254,-0.20512272,544.0,339.0,0.20512272
UNC119,0.20508628,0.000117459254,-0.20496881,333.0,1.0,0.20496881
LSM12,0.2307808,0.02691992,-0.20386088,400.0,89.0,0.20386088
MYCBP,0.21885996,0.015267221,-0.20359273,379.0,44.0,0.20359273
SNU13,1.2581378,1.4605119,0.2023741,3283.0,6985.0,0.2023741
PRKAR2A,0.23750563,0.0351386,-0.20236704,397.0,92.0,0.20236704
GTF2H2,0.22099797,0.01900419,-0.20199378,361.0,53.0,0.20199378
TCAF1,0.21026015,0.008547113,-0.20171304,366.0,24.0,0.20171304
RPL13A,4.8867965,5.0885034,0.20170689,144810.0,264922.0,0.20170689
RPL36,4.0266485,4.2281685,0.20151997,61521.0,126966.0,0.20151997
