gene,old_mean_log1p_CP10K,new_mean_log1p_CP10K,delta_new_minus_old,old_total,new_total,abs_delta
KMT2D,0.03991339,0.008290033,-0.031623356,63.0,11.0,0.031623356
EGR1,0.7334364,0.765021,0.03158462,2333.0,4191.0,0.03158462
ANKRD12,0.33030364,0.3618867,0.03158307,583.0,1156.0,0.03158307
SNAPIN,0.22770427,0.25925353,0.03154926,384.0,647.0,0.03154926
CORO2A,0.20713824,0.23866768,0.03152944,368.0,695.0,0.03152944
SLC25A10,0.15233637,0.18380114,0.03146477,255.0,498.0,0.03146477
TRIP13,0.034831185,0.0034532233,-0.03137796,65.0,13.0,0.03137796
CENPU,0.08435878,0.11573233,0.031373546,152.0,369.0,0.031373546
PAK2,0.26281625,0.2941662,0.031349957,470.0,896.0,0.031349957
FAM13A,0.43215737,0.40091354,-0.03124383,892.0,1107.0,0.03124383
DOCK6,0.0720458,0.040903624,-0.031142179,112.0,99.0,0.031142179
ZNF444,0.2849243,0.3160061,0.031081796,482.0,566.0,0.031081796
SLC38A11,0.13850488,0.16958551,0.031080633,225.0,394.0,0.031080633
HGSNAT,0.10128642,0.07028145,-0.031004965,171.0,204.0,0.031004965
RNF186,0.15918054,0.19018473,0.03100419,287.0,615.0,0.03100419
DAPL1,0.038963668,0.007980077,-0.030983591,67.0,28.0,0.030983591
C17orf49,0.035866886,0.0049346644,-0.030932222,57.0,14.0,0.030932222
RC3H1,0.07400807,0.10493484,0.030926771,120.0,263.0,0.030926771
BICD1,0.10623592,0.07532936,-0.030906558,161.0,173.0,0.030906558
POLR3H,0.08814917,0.119002335,0.030853167,146.0,340.0,0.030853167
TMEM238L,0.030852081,0.0,-0.030852081,56.0,0.0,0.030852081
NQO1,0.09796395,0.06717658,-0.030787371,157.0,114.0,0.030787371
SNRPN,0.5552009,0.52445185,-0.030749023,1065.0,1618.0,0.030749023
PRPF4,0.19291298,0.22363907,0.03072609,319.0,624.0,0.03072609
HOXA5,0.03070811,0.0,-0.03070811,51.0,0.0,0.03070811
MT-ATP8,0.16326581,0.13256973,-0.03069608,1478.0,396.0,0.03069608
IFT20,0.29923663,0.32992908,0.030692458,489.0,800.0,0.030692458
CD46,0.6376809,0.6069895,-0.030691385,1341.0,2303.0,0.030691385
FAM135A,0.13517407,0.10448966,-0.030684404,231.0,307.0,0.030684404
PPM1G,0.50253344,0.5332101,0.030676663,977.0,1591.0,0.030676663
IAH1,0.24033925,0.20966336,-0.030675888,411.0,586.0,0.030675888
U2AF1,0.034339704,0.0036818113,-0.030657893,53.0,7.0,0.030657893
KRR1,0.3559065,0.3865323,0.03062582,602.0,1120.0,0.03062582
PDP2,0.030620292,0.0,-0.030620292,51.0,0.0,0.030620292
CCDC174,0.2252745,0.2558784,0.030603886,375.0,734.0,0.030603886
STX7,0.2098447,0.2404416,0.030596912,349.0,620.0,0.030596912
ZBTB8OS,0.2645345,0.23397125,-0.03056325,451.0,750.0,0.03056325
ARL14EP,0.24487096,0.2753415,0.03047055,379.0,660.0,0.03047055
SMC4,0.3095506,0.3400114,0.030460775,569.0,951.0,0.030460775
CISD2,0.4480914,0.41763663,-0.030454755,836.0,1365.0,0.030454755
PPP3CB,0.069677226,0.039254695,-0.030422531,101.0,82.0,0.030422531
BRCA1,0.07262065,0.042203676,-0.030416977,120.0,129.0,0.030416977
TOMM20,1.1255594,1.1559635,0.03040409,2756.0,4440.0,0.03040409
POLH,0.017374504,0.047762156,0.030387651,31.0,117.0,0.030387651
CDH1,0.4681701,0.4985474,0.030377299,907.0,1495.0,0.030377299
LYPLAL1,0.19013122,0.22039934,0.030268118,329.0,563.0,0.030268118
DCAF5,0.15657459,0.18682069,0.030246094,255.0,474.0,0.030246094
C1orf174,0.19945076,0.22962585,0.03017509,343.0,719.0,0.03017509
SCAMP1,0.13550873,0.16568124,0.030172512,222.0,478.0,0.030172512
MORC2-AS1,0.030119268,0.0,-0.030119268,49.0,0.0,0.030119268
MCM3,0.3449411,0.3750431,0.030101985,671.0,1210.0,0.030101985
CSNK1G1,0.07999032,0.049897473,-0.030092847,125.0,122.0,0.030092847
DLGAP4,0.16327259,0.19335513,0.030082539,257.0,488.0,0.030082539
RPL27,3.2046726,3.2347493,0.030076742,27234.0,42422.0,0.030076742
PARD6G-AS1,0.03158157,0.0015321824,-0.030049387,47.0,5.0,0.030049387
DUOX1,0.03442341,0.0044275615,-0.02999585,51.0,3.0,0.02999585
TAGLN2,1.2220527,1.2520387,0.029986024,3406.0,5861.0,0.029986024
LYZ,0.23048034,0.2604653,0.029984951,797.0,1356.0,0.029984951
ASCC2,0.17177069,0.14179398,-0.02997671,276.0,331.0,0.02997671
ZSWIM7,0.25259802,0.22267213,-0.029925883,437.0,684.0,0.029925883
ATF3,0.45058268,0.48043877,0.029856086,1280.0,3026.0,0.029856086
MAD2L1,0.27840075,0.30824757,0.029846817,522.0,908.0,0.029846817
ARHGEF26,0.029818648,0.0,-0.029818648,47.0,0.0,0.029818648
GANC,0.048062094,0.018278392,-0.029783702,80.0,22.0,0.029783702
RPP40,0.14102732,0.17078671,0.029759392,232.0,503.0,0.029759392
GCFC2,0.10750188,0.07780346,-0.029698417,188.0,206.0,0.029698417
CCDC144A,0.03187263,0.0022352634,-0.029637367,54.0,10.0,0.029637367
COPS7A,0.16828689,0.19792347,0.029636577,290.0,627.0,0.029636577
SARNP,0.1370211,0.10739697,-0.029624127,211.0,322.0,0.029624127
PUSL1,0.13729261,0.16690055,0.029607937,239.0,579.0,0.029607937
LAMP1,0.29441044,0.32399172,0.029581279,480.0,602.0,0.029581279
ADAL,0.08106755,0.05149842,-0.029569127,124.0,148.0,0.029569127
URI1,0.19336407,0.16379797,-0.029566094,323.0,394.0,0.029566094
FBRSL1,0.0860837,0.05656158,-0.029522121,133.0,128.0,0.029522121
MYC,1.2055376,1.2350368,0.029499292,3609.0,5488.0,0.029499292
C15orf61,0.23861276,0.26809517,0.02948241,412.0,728.0,0.02948241
EGLN3,0.07896235,0.049527664,-0.029434685,148.0,198.0,0.029434685
TRA2B,0.8797175,0.90914303,0.029425502,1977.0,3666.0,0.029425502
CEBPG,0.2587527,0.2881635,0.02941081,462.0,903.0,0.02941081
CKAP4,0.16896176,0.19836096,0.029399201,278.0,469.0,0.029399201
RNASE1,0.18586339,0.2152152,0.029351816,324.0,812.0,0.029351816
LIN7C,0.14515291,0.17446886,0.029315948,233.0,457.0,0.029315948
PRKAA1,0.21349636,0.18419504,-0.029301316,353.0,478.0,0.029301316
UBTF,0.18800841,0.21726452,0.029256105,310.0,610.0,0.029256105
AREG,0.2882543,0.3174682,0.029213905,536.0,1014.0,0.029213905
CALD1,0.112962045,0.083766766,-0.029195279,188.0,200.0,0.029195279
NPW,0.029188618,0.0,-0.029188618,57.0,0.0,0.029188618
CCDC82,0.109868266,0.080696225,-0.02917204,175.0,200.0,0.02917204
MORN3,0.036190685,0.0070480057,-0.02914268,58.0,24.0,0.02914268
OAZ3,0.0043148287,0.03342565,0.029110823,7.0,28.0,0.029110823
CHEK1,0.18248262,0.15342513,-0.029057488,336.0,402.0,0.029057488
NSUN7,0.09724906,0.12628998,0.029040918,152.0,292.0,0.029040918
GORASP2,0.30925107,0.3382876,0.029036522,560.0,1102.0,0.029036522
ANKH,0.12417728,0.09518303,-0.028994247,201.0,211.0,0.028994247
RRM1,0.22608335,0.25504953,0.028966174,407.0,739.0,0.028966174
CTNNAL1,0.17154777,0.20051056,0.028962791,305.0,582.0,0.028962791
KPNA2,0.1951627,0.22411773,0.028955027,358.0,817.0,0.028955027
GRIA4,0.046509914,0.01759969,-0.028910223,69.0,61.0,0.028910223
TATDN2,0.02976838,0.0009436052,-0.028824775,47.0,2.0,0.028824775
ODR4,0.16928181,0.19806436,0.028782547,258.0,494.0,0.028782547
ZDHHC23,0.030048715,0.0012849064,-0.028763808,50.0,2.0,0.028763808
WNK2,0.086582,0.05782443,-0.028757568,132.0,177.0,0.028757568
SLC40A1,0.3042917,0.33302596,0.028734267,585.0,1037.0,0.028734267
CHAF1A,0.08611371,0.05739556,-0.028718155,150.0,175.0,0.028718155
CA2,0.17536098,0.2040783,0.028717324,325.0,352.0,0.028717324
VPS26A,0.33909908,0.36779013,0.028691053,622.0,1204.0,0.028691053
PRKD3,0.0921557,0.06353859,-0.028617114,137.0,154.0,0.028617114
ARHGAP11A,0.02856684,0.0,-0.02856684,47.0,0.0,0.02856684
C1orf52,0.26739532,0.29595378,0.028558463,456.0,861.0,0.028558463
DCUN1D3,0.028537972,0.0,-0.028537972,42.0,0.0,0.028537972
SRM,0.19506241,0.22351155,0.028449133,342.0,430.0,0.028449133
RAD51B,0.038740635,0.01030009,-0.028440546,61.0,28.0,0.028440546
FBXL19,0.03232919,0.0039168526,-0.028412338,55.0,5.0,0.028412338
CLCN6,0.030852916,0.0024443883,-0.028408527,51.0,4.0,0.028408527
LINC00115,0.028383736,0.0,-0.028383736,46.0,0.0,0.028383736
SLC43A1,0.17636546,0.20470904,0.028343573,287.0,468.0,0.028343573
SIRT6,0.116343856,0.14467779,0.028333932,192.0,446.0,0.028333932
CYP2C18,0.030091403,0.0017801662,-0.028311238,54.0,10.0,0.028311238
CBFA2T2,0.097999394,0.06980188,-0.028197512,149.0,150.0,0.028197512
