metric,retained_median,lost_median,retained_mean,lost_mean,n_retained,n_lost,mw_p
n_genes_by_counts,2367.0,2186.0,2497.3278008298757,2183.6687043640686,1928,5889,4.54354687038325e-27
total_counts,9801.0,7519.0,11747.687759336099,8983.064017660045,1928,5889,6.371340159667196e-50
pct_counts_mito,3.7822067737579346,6.971360683441162,4.532443822783716,11.865402325722922,1928,5889,5.1975546853489265e-174
pct_counts_ribo,42.83121109008789,33.408180236816406,42.68453063757093,31.848148255846986,1928,5889,3.331598165291179e-294
