,group,names,scores,logfoldchanges,pvals,pvals_adj
101,1,ENSG00000273149,15.635818,8.738583,4.151107537254318e-55,4.0048565962066828e-53
102,1,ENSG00000244380,15.590875,8.5191555,8.397566339039602e-55,7.995800420073785e-53
103,1,ENSG00000287967,15.519372,8.383511,2.5654993514956702e-54,2.4009118556266975e-52
104,1,ABCB9,15.497233,7.8411136,3.621552423899604e-54,3.3747617725822665e-52
105,1,SNX32,15.439183,7.464223,8.922362738068987e-54,8.157802115158304e-52
106,1,ENSG00000272173,15.43486,8.110605,9.540690399880377e-54,8.66873873672291e-52
107,1,RPL30-AS1,15.377179,7.9047484,2.32872883357598e-53,2.0643968548195667e-51
108,1,ENSG00000272256,15.370828,6.1947284,2.568682955923158e-53,2.272504451531694e-51
109,1,CATSPER2P1,15.331349,7.845186,4.7207955165598e-53,4.1099132919468037e-51
110,1,PGLS-DT,15.200464,7.506104,3.511229358009083e-52,2.911855177655199e-50
111,1,BTG1-DT,15.115114,6.2860284,1.2874705852495937e-51,1.0400668106792651e-49
112,1,ENSG00000279035,14.995159,7.52454,7.897268130941243e-51,6.1195426665719154e-49
113,1,BEST1,14.982817,6.5194736,9.51000029636607e-51,7.317342481556034e-49
114,1,ENSG00000273565,14.981338,7.438574,9.724060499085055e-51,7.468898770685647e-49
115,1,CNPY2-AS1,14.962453,5.7110195,1.291758803330292e-50,9.852535207809263e-49
116,1,DUT-AS1,14.95463,8.175265,1.4528813350447589e-50,1.1005990345738169e-48
117,1,ENO3,14.954621,6.0248375,1.4530606876924134e-50,1.1005990345738169e-48
118,1,ENSG00000279641,14.916433,7.851535,2.576842974951263e-50,1.9218147675302047e-48
119,1,SLC9A3R1-AS1,14.804063,8.172371,1.3789469387370015e-49,9.863420132661524e-48
120,1,EME2,14.793159,6.0337043,1.6216258155914073e-49,1.1542595218991346e-47
121,1,TMED2-DT,14.643882,6.501698,1.474054456695727e-48,1.0003427946495348e-46
122,1,ENSG00000269968,14.628367,6.6129475,1.8517833072440534e-48,1.2489249638857115e-46
123,1,ENSG00000275454,14.59917,6.7828646,2.842882172384517e-48,1.902684876904945e-46
124,1,ENSG00000280195,14.565945,5.362865,4.625451017914187e-48,3.0444384229958075e-46
125,1,ENSG00000286883,14.55421,7.61044,5.491683333396961e-48,3.6037316576994115e-46
126,1,ENSG00000264577,14.452572,7.5245333,2.414956641939829e-47,1.5340590854554985e-45
127,1,ENSG00000260304,14.418394,8.1154375,3.964577071836308e-47,2.507494592583705e-45
128,1,P2RX5-TAX1BP3,14.4045315,7.888822,4.845953160853724e-47,3.0516936158782585e-45
129,1,ATG10,14.360443,6.4460106,9.163986444589485e-47,5.705168996785455e-45
