,group,names,scores,logfoldchanges,pvals,pvals_adj
67,Activated CD4 T,RPL34,29.2099,1.0597148,1.4517830713071004e-187,5.3770107922377555e-185
68,Activated CD4 T,CD53,29.165129,4.86007,5.371508550945332e-187,1.9563034142542898e-184
69,Activated CD4 T,RPL31,29.164757,1.4765381,5.430101035880589e-187,1.9612986419183907e-184
70,Activated CD4 T,ABRACL,28.738989,3.1369293,1.243490076683856e-181,4.4545483861796094e-179
71,Activated CD4 T,RPS21,28.675434,1.3708298,7.726205290035673e-181,2.7452526503716995e-178
72,Activated CD4 T,ARPC2,28.61908,1.8295041,3.889853075469936e-180,1.370984990405952e-177
73,Activated CD4 T,B2M-1,28.379286,3.723055,3.6435163015033385e-177,1.2637796542928723e-174
74,Activated CD4 T,RPL26,28.053923,1.0846559,3.57779433749407e-173,1.2121234397352003e-170
75,Activated CD4 T,PLAC8,28.03327,4.1204534,6.389613959854673e-173,2.1316922786373178e-170
76,Activated CD4 T,SARAF,27.811558,2.0959587,3.1441681727237456e-170,1.0178720431164339e-167
77,Activated CD4 T,CKLF,27.752007,3.8424816,1.6479983813380996e-169,5.2191392215942256e-167
78,Activated CD4 T,ARL4C,27.726738,4.7633705,3.324766713185496e-169,1.0453640606694885e-166
79,Activated CD4 T,CLEC2D,27.683538,4.945184,1.102100284139963e-168,3.440442201289496e-166
80,Activated CD4 T,SEPTIN1,27.405586,4.760175,2.352738206195473e-165,7.190494445004683e-163
81,Activated CD4 T,RPL35,27.119555,1.0232034,5.790777789010849e-162,1.7100010303441223e-159
82,Activated CD4 T,RPS20,26.992111,1.295117,1.829230931562371e-160,5.329647242200124e-158
83,Activated CD4 T,GPR183,26.939024,5.0428476,7.670364518102482e-160,2.2200371582725222e-157
84,Activated CD4 T,RPL18A,26.78113,0.91729957,5.360665806372992e-158,1.5213151844267875e-155
85,Activated CD4 T,RPS28,26.757612,1.0067943,1.0069610030935357e-157,2.82103997943589e-155
86,Activated CD4 T,RPS27A,26.558395,0.84176,2.0543004038410703e-155,5.611321553091884e-153
87,Activated CD4 T,RPS26,26.162027,1.4299722,7.191862428203756e-151,1.8934527443507047e-148
88,Activated CD4 T,TNFAIP3,25.998241,4.9139466,5.184110588873331e-149,1.348609340334048e-146
89,Activated CD4 T,LINC00892,25.846455,7.720016,2.666980886131132e-147,6.896907257247042e-145
90,Activated CD4 T,RPS10,25.707342,1.1563983,9.676004402625997e-146,2.47298301995536e-143
91,Activated CD4 T,TMIGD2,25.703953,5.7667828,1.0558170341478066e-145,2.6672501537801e-143
92,Activated CD4 T,TBC1D10C,25.632599,5.334365,6.610032293628323e-145,1.66025776644099e-142
93,Activated CD4 T,RPL36A,25.45835,1.5418428,5.7059277146455245e-143,1.3931389097255196e-140
94,Activated CD4 T,BCL11B,25.288614,4.97361,4.2622132215241936e-141,1.0234932232609524e-138
95,Activated CD4 T,RPS16,25.07552,0.8765766,9.200103792888997e-139,2.185224653067504e-136
96,Activated CD4 T,FAU,24.951492,0.92128015,2.0572309351433966e-137,4.807979721364011e-135
97,Activated CD4 T,TOMM7,24.827349,1.274261,4.543068716336845e-136,1.0450014483093974e-133
98,Activated CD4 T,ZFP36L2,24.740227,1.9039102,3.9501007250515243e-135,8.991416775398532e-133
99,Activated CD4 T,ZBTB16,24.72584,5.0685997,5.641518326365419e-135,1.2709119429663623e-132
100,Activated CD8 T,CD8A,53.99304,12.904262,0.0,0.0
101,Activated CD8 T,CD52,51.434837,10.328905,0.0,0.0
102,Activated CD8 T,TMSB4X,49.75486,2.8653405,0.0,0.0
103,Activated CD8 T,CD3D,49.349308,10.4531145,0.0,0.0
104,Activated CD8 T,TRAC,49.18388,10.213391,0.0,0.0
105,Activated CD8 T,CD3E,48.635868,10.171183,0.0,0.0
106,Activated CD8 T,RPS29,47.963436,3.1887023,0.0,0.0
107,Activated CD8 T,RPS27,46.65486,1.8486106,0.0,0.0
108,Activated CD8 T,RPLP2,46.46526,1.6250259,0.0,0.0
109,Activated CD8 T,CD7,45.395958,8.98874,0.0,0.0
110,Activated CD8 T,MALAT1,45.267483,4.142125,0.0,0.0
111,Activated CD8 T,RPLP1,44.679977,1.2352175,0.0,0.0
112,Activated CD8 T,SH3BGRL3,43.958694,4.678818,0.0,0.0
113,Activated CD8 T,CD69,42.643166,8.649069,0.0,0.0
114,Activated CD8 T,LINC01871,41.49338,10.199052,0.0,0.0
115,Activated CD8 T,CD2,41.244484,9.638926,0.0,0.0
116,Activated CD8 T,HCST,41.17471,8.059517,0.0,0.0
117,Activated CD8 T,RPL28,40.94822,1.2831414,0.0,0.0
118,Activated CD8 T,BTG1,39.59496,3.7708395,0.0,0.0
119,Activated CD8 T,S100A4,39.251118,7.3335514,0.0,0.0
120,Activated CD8 T,RPS18P5,39.205193,5.61436,0.0,0.0
121,Activated CD8 T,KLRB1,38.978695,9.132757,0.0,0.0
122,Activated CD8 T,RPL21,38.881084,1.180883,0.0,0.0
123,Activated CD8 T,ZFP36L2,38.238686,4.064984,0.0,0.0
124,Activated CD8 T,MT-ND2,38.066097,1.8616567,0.0,0.0
125,Activated CD8 T,NKG7,37.914734,8.2550745,0.0,0.0
126,Activated CD8 T,RPL41,37.803734,3.5252128,0.0,0.0
127,Activated CD8 T,RGS1,37.57549,7.6894627,5.40459472360199e-309,7.381325243759414e-306
128,Activated CD8 T,STK17B,37.20475,7.1292305,5.7181198919081336e-303,7.5728700532107e-300
129,Activated CD8 T,RPS28,37.04789,1.3959175,1.9419293749546548e-300,2.4961788647946542e-297
130,Activated CD8 T,ARHGDIB,36.546444,6.466272,2.0308146393866437e-292,2.3987762972906455e-289
131,Activated CD8 T,CD3G,36.479008,8.4984455,2.3869162197227443e-291,2.745204907020074e-288
132,Activated CD8 T,FYB1,36.302628,7.531398,1.4706468981556082e-288,1.6480295394100693e-285
133,Activated CD8 T,RPL38,35.710457,1.6566024,2.7205367000532512e-279,2.9724583984781823e-276
134,Activated CD8 T,RPS21,35.690804,1.854685,5.490582373850418e-279,5.852692977238016e-276
135,Activated CD8 T,CRIP1,35.428967,6.681433,6.11660715102636e-275,6.364766641153715e-272
136,Activated CD8 T,RPL37,35.383724,1.259377,3.03893413538079e-274,3.088687847736792e-271
137,Activated CD8 T,RPS15A,34.97126,0.9900968,6.154174316127534e-268,5.847000745913864e-265
138,Activated CD8 T,TPT1,34.838337,1.2522129,6.394937128975522e-266,5.9464751549946005e-263
139,Activated CD8 T,MT-ND3,34.678844,2.0678072,1.642220122611762e-263,1.4952414216380092e-260
140,Activated CD8 T,B2M-1,34.672264,5.5820713,2.063408445341684e-263,1.84039189173904e-260
141,Activated CD8 T,UBA52,34.192814,1.4082414,3.09209965494356e-256,2.7027424663930667e-253
142,Activated CD8 T,RPS12,33.599373,0.8073136,1.7132016232883067e-247,1.4127125234753236e-244
143,Activated CD8 T,IL7R,33.201656,7.8042483,1.0189031274519044e-241,8.096389505846915e-239
144,Activated CD8 T,SRGN,33.13118,6.3273916,1.0572784062298516e-240,8.251302761762399e-238
145,Activated CD8 T,LAPTM5,33.050674,6.128755,1.5212310802027422e-239,1.1462738470548387e-236
146,Activated CD8 T,RPL39,32.816612,2.7056854,3.4121812156718713e-236,2.485432797495391e-233
147,Activated CD8 T,RPL27,32.739304,1.2709688,4.311335645603055e-235,3.0888952959907523e-232
148,Activated CD8 T,RPS19,32.340958,0.8768912,1.8591624299268563e-229,1.2897275371035449e-226
149,Activated CD8 T,CD48,32.10274,6.537941,4.0372931597726085e-226,2.714551696226186e-223
150,Activated CD8 T,RPL23A,31.65649,0.9385288,6.1736367136680046e-220,4.027054013942485e-217
151,Activated CD8 T,COTL1,31.609404,4.6867795,2.7419717207882965e-219,1.7622813541960545e-216
152,Activated CD8 T,ZFP36,31.572338,4.536282,8.853465483124326e-219,5.607708050354573e-216
153,Activated CD8 T,RPL26,31.458735,1.1255935,3.188431265051806e-217,1.990674285826059e-214
154,Activated CD8 T,RPL13,31.1911,0.83664054,1.406813620320598e-213,8.659631332745269e-211
155,Activated CD8 T,MT-CO1,30.925856,1.134176,5.366548333183565e-210,3.257494838242424e-207
156,Activated CD8 T,CD37,30.574226,6.1330733,2.6945902751166976e-205,1.6132105942972622e-202
157,Activated CD8 T,PFN1,30.333418,2.2263067,4.157601489005413e-202,2.3295360958396484e-199
158,Activated CD8 T,CD8B,30.183393,10.168791,3.912603500560538e-200,2.137455292356222e-197
159,Activated CD8 T,RPL36A,30.167345,2.5768745,6.353705575177473e-200,3.428177141451312e-197
160,Activated CD8 T,RAC2,29.957104,5.6089287,3.5556366176654437e-197,1.8499469373625065e-194
161,Activated CD8 T,PTPRC,29.891428,6.117984,2.54333340265246e-196,1.307692270935566e-193
162,Activated CD8 T,ATP5F1E,29.714474,1.9227399,4.992669259254722e-194,2.5372048524007953e-191
163,Activated CD8 T,CXCR4,29.574001,5.8711786,3.2275677821249833e-192,1.6213519810343708e-189
164,Activated CD8 T,RPL30,29.488344,0.8550522,4.061631118712424e-191,2.017153709229634e-188
165,Activated CD8 T,RPL34,28.910734,0.92644817,8.750976060927683e-184,4.1570941061606895e-181
166,Activated CD8 T,RPL36,28.559366,1.0599419,2.149069564145919e-179,1.009924045499282e-176
167,Activated CD8 T,RPS10,28.243454,1.8054029,1.71281308421429e-175,7.797581565885555e-173
168,Activated CD8 T,RPL10,28.107159,0.62996197,8.008827107092175e-174,3.5716099988607794e-171
169,Activated CD8 T,KLRD1,27.845749,8.09593,1.2127232114431522e-170,5.353621740698135e-168
170,Activated CD8 T,RPL27A,27.801844,0.94445574,4.120692229759487e-170,1.800907332094086e-167
171,Activated CD8 T,ARPC1B,27.739706,4.449071,2.3193421200847204e-169,1.0036091882790358e-166
172,Activated CD8 T,PLAAT4,27.633175,5.0332346,4.445903095558147e-168,1.904938714590914e-165
173,Activated CD8 T,LCK,27.612566,6.470052,7.861709058664784e-168,3.3358071135911235e-165
174,Activated CD8 T,MT-CO2,27.556341,1.1159163,3.715079909956121e-167,1.5611908883146376e-164
175,Activated CD8 T,RPL15,27.530958,2.0636961,7.481580002702027e-167,3.1140473565532322e-164
176,Activated CD8 T,CORO1A,27.203783,5.3872104,5.858900533983723e-163,2.4156357446907982e-160
177,Activated CD8 T,RPL35,26.848577,0.87805635,8.763266789920396e-159,3.4195518909525087e-156
178,Activated CD8 T,EEF1A1,26.80754,2.2381022,2.6391585100680605e-158,1.0207237480001285e-155
179,Activated CD8 T,CD160,26.583853,8.368623,1.0434847627042872e-155,3.931418799071394e-153
180,Activated CD8 T,RPL32,26.313309,0.6133231,1.3505581982279172e-152,5.0021013131655e-150
181,Activated CD8 T,EVL,26.097837,4.1425114,3.85776992431358e-150,1.3933882377867828e-147
182,Activated CD8 T,TRGC2,26.04238,8.128779,1.6412453888698545e-149,5.879425284849846e-147
183,Activated CD8 T,HLA-C-4,25.676956,4.52981,2.1146322238093933e-145,7.513649325964694e-143
184,Activated CD8 T,CST7,25.451075,7.36514,6.868843517886476e-143,2.4015674968456846e-140
185,Activated CD8 T,TOMM7,25.226986,1.8934494,2.0263312338748547e-140,7.02847462264021e-138
186,Activated CD8 T,TSC22D3,25.145586,3.7050092,1.5793569539986489e-139,5.350714443221469e-137
187,Activated CD8 T,BCL11B,25.098984,5.854446,5.101931633320606e-139,1.7151909238664906e-136
188,Activated CD8 T,CLEC2D,25.049742,5.521122,1.7571820685976688e-138,5.862281307327673e-136
189,Activated CD8 T,CYTIP,24.898842,5.818013,7.658186068527686e-137,2.4977116711860747e-134
190,Activated CD8 T,JUNB,24.662096,2.820187,2.729796522160443e-134,8.77228141209559e-132
191,Activated CD8 T,KLF6,24.344479,3.9864535,6.633008441406423e-131,2.0414718374875092e-128
192,Activated CD8 T,HOPX,24.070755,5.5297937,5.061904292002034e-128,1.5049351372629722e-125
193,Activated CD8 T,TMA7,24.033247,1.7436177,1.2496488841404442e-127,3.6901793805725655e-125
194,Activated CD8 T,ALOX5AP,23.423376,5.5690584,2.4698843322148572e-121,6.875402857013893e-119
195,Activated CD8 T,PNRC1,23.046999,2.5761857,1.5764820460915553e-117,4.125662954633852e-115
196,Activated CD8 T,GZMM,23.036919,6.464228,1.9894955265946434e-117,5.1755305056126365e-115
197,Activated CD8 T,S100A6,22.874289,2.7984629,8.37799891765941e-116,2.1665802644815792e-113
198,Activated CD8 T,RPL31,22.6988,1.2943665,4.603914133433345e-114,1.1835850781621818e-111
199,Activated CD8 T,RPS6,22.448357,0.71613663,1.32788023584678e-111,3.335268840657912e-109
200,Activated T,CD52,43.08634,9.0290165,0.0,0.0
201,Activated T,CD69,42.109303,8.992828,0.0,0.0
202,Activated T,CD7,40.89819,8.505381,0.0,0.0
203,Activated T,CD3D,40.76435,9.206704,0.0,0.0
204,Activated T,KLRB1,39.84556,9.624613,0.0,0.0
205,Activated T,TRAC,38.653812,8.59569,0.0,0.0
206,Activated T,PFN1,38.106747,2.5720272,0.0,0.0
207,Activated T,ARHGDIB,37.111076,6.7253056,1.8620203635181033e-301,7.3979761788359265e-298
208,Activated T,CD3E,36.648262,8.215809,4.8773929251210764e-294,1.776346503329096e-290
209,Activated T,TMSB4X,35.99867,1.2638578,8.776557470488581e-284,2.9505435976171764e-280
210,Activated T,NKG7,32.839283,7.742449,1.6200820716120715e-236,3.9335592698741095e-233
