,category,gene_program,p_h0,p_h1,log_bayes_factor
0,0,CD24_ligand_receptor_target_gene_GP,0.9997508500037072,0.00024914999629277457,8.297206263064396
1,0,CXCL14_combined_GP,0.00026477145656827685,0.9997352285434318,-8.236378721836754
2,0,ANPEP_ligand_receptor_target_gene_GP,0.0005196271284969355,0.999480372871503,-7.561879300077605
3,9,Add-on_76_GP,0.0007586965757075188,0.9992413034242925,-7.183149643150006
4,14,IL1B_combined_GP,0.9988282654511083,0.0011717345488917452,6.748097685181681
5,0,CDH1_ligand_receptor_target_gene_GP,0.001281214913815565,0.9987187850861844,-6.658664462640716
6,13,Add-on_37_GP,0.001594610484873256,0.9984053895151267,-6.439529898824801
7,6,Add-on_28_GP,0.9982145259006191,0.0017854740993809015,6.326284226605217
8,0,SLPI_ligand_receptor_target_gene_GP,0.9981564905717493,0.0018435094282507336,6.2942390146576725
9,5,Add-on_77_GP,0.00194087663200199,0.998059123367998,-6.242672772716478
10,5,TIMP3_ligand_receptor_target_gene_GP,0.9972016908738371,0.0027983091261628568,5.875937695656384
11,5,CLU_combined_GP,0.003066517098170143,0.9969334829018298,-5.784141628299471
12,0,BMP5_combined_GP,0.0033126060904499852,0.99668739390955,-5.706701955659136
13,5,TNXB_ligand_receptor_target_gene_GP,0.9964413317386152,0.0035586682613848453,5.634803872321729
14,5,TFF1_combined_GP,0.9959808877573907,0.004019112242609313,5.512667025082636
15,5,TNFSF13B_combined_GP,0.99530158236515,0.004698417634850016,5.3558200102836855
16,5,CCL11_combined_GP,0.0048812031646786125,0.9951187968353213,-5.317470384016575
17,3,Add-on_70_GP,0.9950996534136457,0.004900346586354298,5.313536951600765
18,5,gamma-Aminobutyric acid_metabolite_enzyme_sensor_GP,0.9942009916537663,0.005799008346233703,5.144252462780323
19,14,C1QA_ligand_receptor_target_gene_GP,0.006334194123035251,0.9936658058769647,-5.055438343150304
20,10,ICOS_ligand_receptor_GP,0.9928946564371223,0.007105343562877731,4.939777456647039
21,14,COL5A2_ligand_receptor_target_gene_GP,0.9928060185512011,0.007193981448798903,4.927290529367579
22,5,COL1A1_ligand_receptor_target_gene_GP,0.007519937494844145,0.9924800625051559,-4.882649098000216
23,5,GUCA2B_combined_GP,0.99242512010914,0.007574879890860031,4.875314068572651
24,6,CXCL13_combined_GP,0.9916327730447166,0.008367226955283358,4.775030328172327
25,14,Add-on_95_GP,0.9911164917462258,0.008883508253774153,4.714635524397213
26,2,Add-on_18_GP,0.009500574839973006,0.990499425160027,-4.646856979434147
27,6,CD79B_ligand_receptor_target_gene_GP,0.9901574700647043,0.009842529935295663,4.611151205787404
28,5,COL11A1_ligand_receptor_target_gene_GP,0.9899239472139274,0.010076052786072598,4.587466521814405
29,5,CEACAM6_combined_GP,0.9895294543296975,0.010470545670302478,4.548663390355283
30,0,AREG_combined_GP,0.01113179590796489,0.9888682040920351,-4.486755551186129
31,5,CEACAM1_ligand_receptor_target_gene_GP,0.012065431936799246,0.9879345680632008,-4.405271969567871
32,5,GUCA2A_combined_GP,0.987812415144445,0.012187584855555045,4.395075017619595
33,14,TNC_combined_GP,0.01221216396947191,0.9877878360305281,-4.393035432050746
34,6,Add-on_21_GP,0.012292721500420137,0.9877072784995798,-4.3863790376534535
35,14,Add-on_55_GP,0.012337264019128802,0.9876627359808712,-4.382717001593483
36,14,CCL4_combined_GP,0.9874474496514473,0.012552550348552738,4.365199419781249
37,5,IFNG_combined_GP,0.01270774085088414,0.9872922591491159,-4.352754780481842
38,13,COL19A1_combined_GP,0.013710048449510176,0.9862899515504898,-4.2758213523615645
