,gp_name,n_source_genes,n_non_zero_source_genes,n_target_genes,n_non_zero_target_genes,gp_source_genes,gp_target_genes,gp_source_genes_importances,gp_target_genes_importances
129,Add-on_18_GP,315,151,188,51,"['SMOC2', 'LGR5', 'DMBT1', 'ASCL2', 'CA7', 'EPHB3', 'SOCS3', 'L1TD1', 'SCNN1A', 'LGALS2', 'RGMB', 'AKR1C3', 'REG4', 'RETNLB', 'SLC12A2', 'MUC12', 'SOX4', 'ADH1C', 'CDK6', 'CDCA7', 'RNF43', 'PDGFRA', 'SPIB', 'HES6', 'IL17RB', 'RRM2', 'TK1', 'TOP2A', 'CA2', 'FERMT1', 'MKI67', 'CPA3', 'CTSE', 'ANO7', 'DUOX2', 'DPYSL3', 'CTNNB1', 'KRT8', 'RGS13', 'PCLAF', 'NUSAP1', 'CES2', 'INSM1', 'GPX2', 'GALNT8', 'SULT1B1', 'SLC26A3', 'UBE2C', 'PROX1', 'KLK1', 'ACTA2', 'PIGR', 'PLCE1', 'PSTPIP2', 'CA4', 'TRPM5', 'STMN1', 'TYMS', 'SLC26A2', 'WFDC2', 'TUBB', 'HMGB2', 'CA1', 'ATOH1', 'FOXA3', 'GREM2', 'CMBL', 'AKR7A3', 'REP15', 'TNFRSF17', 'MAOB', 'MAF', 'HEPACAM2', 'GNPTAB', 'STXBP6', 'CFTR', 'KCNAB1', 'CYB5R3', 'EGFR', 'TOX', 'SOX9', 'IRF8', 'GIMAP7', 'NXPE4', 'ABCA8', 'RAP1GAP', 'F3', 'CDHR5', 'AVIL', 'CR2', 'CD79A', 'EBPL', 'MS4A12', 'C1QBP', 'CADPS', 'HES1', 'DNASE1L3', 'MYH14', 'CDKN2B', 'MS4A7', 'CYBB', 'CCDC80', 'UGT2B17', 'AQP1', 'TKT', 'TMIGD1', 'CLCA1', 'PRDX4', 'PDE4C', 'PPP1R1B', 'CDH19', 'RGS5', 'RFX6', 'SMIM14', 'CHGA', 'SLC29A4', 'SH2D6', 'RUNX1', 'FZD7', 'SOD3', 'PTTG1', 'PBK', 'SDCBP2', 'RAB26', 'CHP2', 'SFXN1', 'CXCR4', 'LRMP', 'RNASE1', 'NET1', 'IDO1', 'IFI27', 'IMPDH2', 'CHRM3', 'PLN', 'FRZB', 'ADRA2A', 'ZEB2', 'SPDEF', 'RUNX1T1', 'PTPRB', 'PDGFRB', 'LEPROTL1', 'ID2', 'TCF21', 'SELENBP1', 'KLRB1', 'HPGDS', 'TAGLN', 'SH2D7', 'IL7R', 'VWA5B2', 'VPREB3', 'UGT2A3', 'TUBA1A', 'TRGV4', 'TRDV1', 'TRBC2', 'TRBC1', 'TRAT1', 'TRAC', 'TNFRSF25', 'TNFAIP3', 'TMEM61', 'TCL1A', 'TBC1D4', 'SVOPL', 'SPOCK2', 'SOX6', 'SMIM6', 'SIT1', 'SELENOM', 'SELENOK', 'SEC11C', 'SCGN', 'SCG5', 'SCG3', 'SCG2', 'S100P', 'RPS4Y1', 'RORC', 'RORA', 'ROBO2', 'RIIAD1', 'RHOV', 'RBFOX3', 'RAB3B', 'PTGER4', 'PRPH', 'PRF1', 'PLXND1', 'PLVAP', 'PLPP2', 'PKHD1L1', 'PI3', 'PDZK1IP1', 'PDCD1', 'PCDH11X', 'PAX5', 'PAX4', 'OTOP2', 'OLFM4', 'ODF2L', 'NOVA1', 'NOTCH3', 'NOSIP', 'NKX2-2', 'NKG7', 'NEUROD1', 'MT1A', 'MSLN', 'MS4A8', 'MS4A2', 'MS4A1', 'MMP3', 'MLPH', 'MEIS2', 'MCEMP1', 'MBP', 'MB', 'LYVE1', 'LMCD1', 'LILRA4', 'LEF1', 'LCT', 'LAG3', 'KRTCAP3', 'KRT86', 'KRT1', 'KLRD1', 'KLRC2', 'KIF5C', 'ITLN1', 'ITK', 'ISL1', 'IL4I1', 'IL1RL1', 'IL1RAPL1', 'IER5', 'HTR3E', 'HRCT1', 'HHIP', 'HAVCR2', 'GZMK', 'GZMA', 'GPRIN3', 'GPRC5C', 'GPR183', 'GNLY', 'GNA11', 'GATA2', 'GALNT5', 'FYB1', 'FOXP3', 'FKBP11', 'FFAR4', 'FEV', 'FCRLA', 'FCRL1', 'FABP2', 'ETV1', 'ETS1', 'DOCK10', 'DNAJC12', 'DERL3', 'DEPP1', 'CXCR5', 'CXCR3', 'CXCR2', 'CXCR1', 'CTSB', 'CTLA4', 'CST7', 'CRYBA2', 'CREB3L1', 'CPE', 'CMA1', 'CLEC9A', 'CLCA4', 'CKAP4', 'CHI3L2', 'CHGB', 'CES1', 'CEP126', 'CDK15', 'CD83', 'CD5', 'CD3G', 'CD3E', 'CD3D', 'CD36', 'CD163', 'CCR7', 'CALB2', 'C7', 'C2orf88', 'C1QC', 'BRCA2', 'BMX', 'BEST4', 'BEST2', 'BCAS1', 'BATF', 'BANK1', 'B3GNT6', 'ARX', 'ARHGAP24', 'AQP8', 'ANXA13', 'ANK2', 'AGTR1', 'AFAP1L2', 'ACKR1', 'ACACB', 'ABCC8']","['SMOC2', 'ASCL2', 'CA7', 'EPHB3', 'L1TD1', 'LGALS2', 'SLC12A2', 'MUC12', 'IL17RB', 'REG4', 'CES2', 'GNPTAB', 'AKR7A3', 'UGT2B17', 'CA1', 'CYB5R3', 'UGT2A3', 'GIMAP7', 'CYBB', 'TKT', 'EBPL', 'GALNT8', 'PROX1', 'WFDC2', 'TMIGD1', 'PRDX4', 'CHP2', 'LEPROTL1', 'FOXA3', 'HHLA2', 'SOD3', 'NID1', 'TRAC', 'CA4', 'MFAP5', 'AQP1', 'HEPACAM2', 'IMPDH2', 'ANO7', 'STXBP6', 'RARRES2', 'TOX', 'CLCA1', 'CD2', 'BCAS1', 'SELENOK', 'PPP1R1B', 'KRTCAP3', 'GALNT5', 'CDHR5', 'RGS13', 'WNT5B', 'VWA5B2', 'VPREB3', 'UCN3', 'TRPM5', 'TRGV4', 'TRDV1', 'TRBC2', 'TRAT1', 'TPSG1', 'TNFRSF25', 'TMEM61', 'TIGIT', 'TCL1A', 'TCF21', 'SVOPL', 'SPOCK2', 'SPDEF', 'SOX6', 'SNCA', 'SMIM6', 'SLC29A4', 'SLC18A2', 'SH2D7', 'SH2D6', 'SFXN1', 'SELENOM', 'SEC11C', 'SDCBP2', 'SCGN', 'SCG3', 'RUNX1T1', 'RSPO3', 'RPS4Y1', 'RORC', 'ROBO2', 'ROBO1', 'RNASE1', 'RIIAD1', 'RHOV', 'RGS5', 'RFX6', 'REP15', 'RBFOX3', 'RAB3B', 'RAB26', 'PRPH', 'PLVAP', 'PKHD1L1', 'PDE4C', 'PCDH11X', 'PAX4', 'PAPLN', 'OTOP2', 'ODF2L', 'NRXN1', 'NRG3', 'NOVA1', 'NOSIP', 'NKG7', 'NET1', 'MYH14', 'MT1A', 'MS4A8', 'MS4A7', 'MS4A2', 'MS4A12', 'MS4A1', 'MLPH', 'MCEMP1', 'MB', 'LYVE1', 'LRMP', 'LMCD1', 'LILRA4', 'LGALS9', 'KRT1', 'KLRC2', 'KLRB1', 'KIF5C', 'KCNAB1', 'IL1RAPL1', 'IFI27', 'ICOS', 'HTR3E', 'HRCT1', 'HPGDS', 'HES6', 'HDC', 'GZMK', 'GZMA', 'GUCA2B', 'GPRIN3', 'GNLY', 'GNA11', 'GCG', 'FKBP11', 'FFAR4', 'FEV', 'FCRLA', 'FCRL1', 'DUOX2', 'DOCK10', 'DNAJC12', 'DERL3', 'DEPP1', 'CTSG', 'CTSE', 'CRYBA2', 'CREB3L1', 'CPA3', 'CMA1', 'CLEC9A', 'CHI3L2', 'CHGB', 'CHGA', 'CEP126', 'CDK15', 'CDH19', 'CD8B', 'CD7', 'CD3G', 'CD177', 'CADM2', 'C2orf88', 'C1QC', 'C1QA', 'BEST4', 'BEST2', 'BANK1', 'B3GNT6', 'AVIL', 'ARX', 'AQP8', 'ANXA13', 'ANK2', 'ABCC8']","[0.0395, 0.0377, 0.037, 0.031, 0.0295, 0.0246, 0.024, 0.0189, 0.0171, 0.0169, 0.0166, 0.0146, 0.0144, 0.0143, 0.0136, 0.013, 0.0114, 0.0111, 0.0106, 0.0103, 0.0102, 0.01, 0.0099, 0.0093, 0.0089, 0.0083, 0.0077, 0.0076, 0.0076, 0.0075, 0.0075, 0.007, 0.0067, 0.0066, 0.0064, 0.0059, 0.0056, 0.0054, 0.0052, 0.0052, 0.0052, 0.0052, 0.0052, 0.005, 0.005, 0.0048, 0.0048, 0.0046, 0.0046, 0.0046, 0.0044, 0.0044, 0.0042, 0.0043, 0.0041, 0.0041, 0.0041, 0.004, 0.004, 0.0041, 0.004, 0.004, 0.004, 0.0038, 0.0037, 0.0036, 0.0035, 0.0033, 0.0033, 0.0033, 0.0033, 0.0032, 0.003, 0.003, 0.0029, 0.0029, 0.0028, 0.0026, 0.0024, 0.0023, 0.0021, 0.0021, 0.0021, 0.0021, 0.002, 0.002, 0.002, 0.002, 0.002, 0.0019, 0.0019, 0.0018, 0.0018, 0.0017, 0.0016, 0.0015, 0.0015, 0.0015, 0.0014, 0.0014, 0.0013, 0.0012, 0.0012, 0.0012, 0.0011, 0.0012, 0.0012, 0.0011, 0.0011, 0.001, 0.001, 0.0009, 0.0009, 0.0009, 0.0009, 0.0008, 0.0008, 0.0008, 0.0007, 0.0007, 0.0006, 0.0006, 0.0005, 0.0005, 0.0005, 0.0004, 0.0004, 0.0004, 0.0003, 0.0003, 0.0003, 0.0003, 0.0002, 1e-04, 1e-04, 1e-04, 1e-04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1e-04, 1e-04, 1e-04, 1e-04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0307, 0.0246, 0.0238, 0.0203, 0.0154, 0.014, 0.0131, 0.0123, 0.0068, 0.0062, 0.0062, 0.0052, 0.005, 0.0038, 0.0037, 0.003, 0.0029, 0.0023, 0.0023, 0.0021, 0.0019, 0.0019, 0.0019, 0.0017, 0.0017, 0.0016, 0.0014, 0.0013, 0.0013, 0.0011, 0.001, 0.001, 0.0009, 0.0009, 0.0007, 0.0006, 0.0005, 0.0003, 0.0003, 0.0003, 0.0003, 1e-04, 1e-04, 1e-04, 1e-04, 0.0, 0.0, 0.0, 0.0, 1e-04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
209,Add-on_98_GP,315,96,188,43,"['DUOX2', 'SOCS3', 'LRMP', 'TNFAIP3', 'SELENBP1', 'CTNNB1', 'LYVE1', 'CLCA4', 'PIGR', 'TUBB', 'MAF', 'TMIGD1', 'IL17RB', 'DNASE1L3', 'EGFR', 'SDCBP2', 'SLC26A2', 'CTSB', 'MS4A12', 'FRZB', 'FYB1', 'CREB3L1', 'ADRA2A', 'STMN1', 'CA4', 'GZMA', 'SOX9', 'SLC12A2', 'ETS1', 'ABCA8', 'BEST4', 'ADH1C', 'MYH14', 'SLC26A3', 'C1QC', 'SOX6', 'REG4', 'FABP2', 'IER5', 'TAGLN', 'FOXA3', 'CMBL', 'SEC11C', 'KRT8', 'CYB5R3', 'NXPE4', 'LAG3', 'DOCK10', 'FZD7', 'MLPH', 'AKR1C3', 'CDHR5', 'HMGB2', 'RNASE1', 'PDGFRA', 'DMBT1', 'PTPRB', 'ACACB', 'HES1', 'ZEB2', 'SOD3', 'CHP2', 'HRCT1', 'SPDEF', 'CPE', 'ODF2L', 'HHIP', 'IFI27', 'GPX2', 'CDKN2B', 'REP15', 'CES2', 'SELENOK', 'FKBP11', 'MS4A1', 'CA1', 'MS4A8', 'IRF8', 'GNA11', 'RUNX1', 'SCNN1A', 'TUBA1A', 'GNPTAB', 'AQP8', 'C2orf88', 'MUC12', 'CKAP4', 'CHGA', 'TOX', 'GPRIN3', 'FERMT1', 'CLCA1', 'B3GNT6', 'OTOP2', 'MS4A7', 'MKI67', 'UGT2A3', 'LEPROTL1', 'KRTCAP3', 'CFTR', 'CA7', 'ACTA2', 'WFDC2', 'VWA5B2', 'VPREB3', 'UGT2B17', 'UBE2C', 'TYMS', 'TRPM5', 'TRGV4', 'TRDV1', 'TRBC2', 'TRBC1', 'TRAT1', 'TRAC', 'TOP2A', 'TNFRSF25', 'TNFRSF17', 'TMEM61', 'TKT', 'TK1', 'TCL1A', 'TCF21', 'TBC1D4', 'SVOPL', 'SULT1B1', 'STXBP6', 'SPOCK2', 'SPIB', 'SOX4', 'SMOC2', 'SMIM6', 'SMIM14', 'SLC29A4', 'SIT1', 'SH2D7', 'SH2D6', 'SFXN1', 'SELENOM', 'SCGN', 'SCG5', 'SCG3', 'SCG2', 'S100P', 'RUNX1T1', 'RRM2', 'RPS4Y1', 'RORC', 'RORA', 'ROBO2', 'RNF43', 'RIIAD1', 'RHOV', 'RGS5', 'RGS13', 'RGMB', 'RFX6', 'RETNLB', 'RBFOX3', 'RAP1GAP', 'RAB3B', 'RAB26', 'PTTG1', 'PTGER4', 'PSTPIP2', 'PRPH', 'PROX1', 'PRF1', 'PRDX4', 'PPP1R1B', 'PLXND1', 'PLVAP', 'PLPP2', 'PLN', 'PLCE1', 'PKHD1L1', 'PI3', 'PDZK1IP1', 'PDGFRB', 'PDE4C', 'PDCD1', 'PCLAF', 'PCDH11X', 'PBK', 'PAX5', 'PAX4', 'OLFM4', 'NUSAP1', 'NOVA1', 'NOTCH3', 'NOSIP', 'NKX2-2', 'NKG7', 'NEUROD1', 'NET1', 'MT1A', 'MSLN', 'MS4A2', 'MMP3', 'MEIS2', 'MCEMP1', 'MBP', 'MB', 'MAOB', 'LMCD1', 'LILRA4', 'LGR5', 'LGALS2', 'LEF1', 'LCT', 'L1TD1', 'KRT86', 'KRT1', 'KLRD1', 'KLRC2', 'KLRB1', 'KLK1', 'KIF5C', 'KCNAB1', 'ITLN1', 'ITK', 'ISL1', 'INSM1', 'IMPDH2', 'IL7R', 'IL4I1', 'IL1RL1', 'IL1RAPL1', 'IDO1', 'ID2', 'HTR3E', 'HPGDS', 'HES6', 'HEPACAM2', 'HAVCR2', 'GZMK', 'GREM2', 'GPRC5C', 'GPR183', 'GNLY', 'GIMAP7', 'GATA2', 'GALNT8', 'GALNT5', 'FOXP3', 'FFAR4', 'FEV', 'FCRLA', 'FCRL1', 'F3', 'ETV1', 'EPHB3', 'EBPL', 'DPYSL3', 'DNAJC12', 'DERL3', 'DEPP1', 'CYBB', 'CXCR5', 'CXCR4', 'CXCR3', 'CXCR2', 'CXCR1', 'CTSE', 'CTLA4', 'CST7', 'CRYBA2', 'CR2', 'CPA3', 'CMA1', 'CLEC9A', 'CHRM3', 'CHI3L2', 'CHGB', 'CES1', 'CEP126', 'CDK6', 'CDK15', 'CDH19', 'CDCA7', 'CD83', 'CD79A', 'CD5', 'CD3G', 'CD3E', 'CD3D', 'CD36', 'CD163', 'CCR7', 'CCDC80', 'CALB2', 'CADPS', 'CA2', 'C7', 'C1QBP', 'BRCA2', 'BMX', 'BEST2', 'BCAS1', 'BATF', 'BANK1', 'AVIL', 'ATOH1', 'ASCL2', 'ARX', 'ARHGAP24', 'AQP1', 'ANXA13', 'ANO7', 'ANK2', 'AKR7A3', 'AGTR1', 'AFAP1L2', 'ACKR1', 'ABCC8']","['DUOX2', 'SDCBP2', 'CREB3L1', 'CD177', 'IL17RB', 'CA4', 'MS4A12', 'TMIGD1', 'SLC12A2', 'LRMP', 'SEC11C', 'FOXA3', 'HHLA2', 'C1QC', 'MYH14', 'CYB5R3', 'NID1', 'KRTCAP3', 'SOD3', 'CDHR5', 'RNASE1', 'C1QA', 'MS4A1', 'MLPH', 'GNPTAB', 'GUCA2B', 'CLCA1', 'C2orf88', 'DOCK10', 'MUC12', 'PAPLN', 'SELENOK', 'EBPL', 'CHP2', 'CES2', 'WNT5B', 'PLVAP', 'BCAS1', 'REP15', 'NET1', 'IMPDH2', 'CA7', 'CA1', 'UGT2B17', 'ODF2L', 'LYVE1', 'LGALS9', 'WFDC2', 'VWA5B2', 'VPREB3', 'UGT2A3', 'UCN3', 'TRPM5', 'TRGV4', 'TRDV1', 'TRBC2', 'TRAT1', 'TRAC', 'TPSG1', 'TOX', 'TNFRSF25', 'TMEM61', 'TKT', 'TIGIT', 'TCL1A', 'TCF21', 'SVOPL', 'STXBP6', 'SPOCK2', 'SPDEF', 'SOX6', 'SNCA', 'SMOC2', 'SMIM6', 'SLC29A4', 'SLC18A2', 'SH2D7', 'SH2D6', 'SFXN1', 'SELENOM', 'SCGN', 'SCG3', 'RUNX1T1', 'RSPO3', 'RPS4Y1', 'RORC', 'ROBO2', 'ROBO1', 'RIIAD1', 'RHOV', 'RGS5', 'RGS13', 'RFX6', 'REG4', 'RBFOX3', 'RARRES2', 'RAB3B', 'RAB26', 'PRPH', 'PROX1', 'PRDX4', 'PPP1R1B', 'PKHD1L1', 'PDE4C', 'PCDH11X', 'PAX4', 'OTOP2', 'NRXN1', 'NRG3', 'NOVA1', 'NOSIP', 'NKG7', 'MT1A', 'MS4A8', 'MS4A7', 'MS4A2', 'MFAP5', 'MCEMP1', 'MB', 'LMCD1', 'LILRA4', 'LGALS2', 'LEPROTL1', 'L1TD1', 'KRT1', 'KLRC2', 'KLRB1', 'KIF5C', 'KCNAB1', 'IL1RAPL1', 'IFI27', 'ICOS', 'HTR3E', 'HRCT1', 'HPGDS', 'HES6', 'HEPACAM2', 'HDC', 'GZMK', 'GZMA', 'GPRIN3', 'GNLY', 'GNA11', 'GIMAP7', 'GCG', 'GALNT8', 'GALNT5', 'FKBP11', 'FFAR4', 'FEV', 'FCRLA', 'FCRL1', 'EPHB3', 'DNAJC12', 'DERL3', 'DEPP1', 'CYBB', 'CTSG', 'CTSE', 'CRYBA2', 'CPA3', 'CMA1', 'CLEC9A', 'CHI3L2', 'CHGB', 'CHGA', 'CEP126', 'CDK15', 'CDH19', 'CD8B', 'CD7', 'CD3G', 'CD2', 'CADM2', 'BEST4', 'BEST2', 'BANK1', 'B3GNT6', 'AVIL', 'ASCL2', 'ARX', 'AQP8', 'AQP1', 'ANXA13', 'ANO7', 'ANK2', 'AKR7A3', 'ABCC8']","[0.0959, 0.0698, 0.0284, 0.028, 0.0232, 0.0172, 0.0163, 0.0161, 0.0152, 0.0146, 0.0146, 0.0144, 0.0144, 0.0142, 0.014, 0.0136, 0.0132, 0.0129, 0.0127, 0.0125, 0.0124, 0.0121, 0.0118, 0.0117, 0.0113, 0.011, 0.0101, 0.0101, 0.0099, 0.0095, 0.0089, 0.0088, 0.0085, 0.0084, 0.0082, 0.0081, 0.0081, 0.0069, 0.007, 0.0067, 0.0065, 0.0061, 0.0061, 0.0059, 0.0055, 0.0053, 0.0051, 0.005, 0.0049, 0.005, 0.0046, 0.0042, 0.0037, 0.0038, 0.0037, 0.0034, 0.0032, 0.003, 0.003, 0.0026, 0.0027, 0.0025, 0.0024, 0.0023, 0.0022, 0.0021, 0.0016, 0.0015, 0.0014, 0.0014, 0.0015, 0.0012, 0.0013, 0.0013, 0.0011, 0.0011, 0.0009, 0.0008, 0.0008, 0.0007, 0.0008, 0.0007, 0.0006, 0.0006, 0.0005, 0.0004, 0.0004, 0.0003, 0.0002, 0.0002, 1e-04, 1e-04, 0.0002, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0469, 0.0177, 0.0129, 0.0118, 0.0117, 0.0115, 0.0109, 0.0101, 0.0074, 0.0072, 0.0067, 0.0065, 0.0061, 0.0055, 0.0052, 0.0037, 0.0034, 0.0035, 0.0032, 0.0031, 0.003, 0.0027, 0.0025, 0.0024, 0.0019, 0.0016, 0.0016, 0.0015, 0.0011, 0.001, 0.0009, 0.001, 0.001, 0.0004, 0.0003, 0.0002, 1e-04, 0.0002, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
57,CD40LG_combined_GP,1,1,34,34,['CD40LG'],"['SELL', 'CD40LG', 'TNFSF13B', 'HMGB2', 'CFTR', 'PCLAF', 'CXCL1', 'KIT', 'CCR7', 'CD83', 'IL7R', 'CXCL10', 'IFNG', 'MMP3', 'ACTA2', 'HES1', 'F3', 'EGFR', 'SERPINE1', 'MMP1', 'THBS1', 'ID2', 'CCL20', 'SOCS3', 'CDK6', 'TNC', 'ETS1', 'TNFAIP3', 'CDH1', 'IL1B', 'VCAN', 'CCL5', 'CXCR4', 'CXCL2']",[0.1331],"[0.1586, 0.1539, 0.1018, 0.0755, 0.0644, 0.0315, 0.0283, 0.0276, 0.0267, 0.0245, 0.0195, 0.0189, 0.0174, 0.016, 0.0096, 0.0089, 0.0085, 0.0078, 0.0076, 0.0074, 0.0072, 0.0071, 0.0065, 0.0062, 0.0057, 0.0046, 0.0029, 0.0027, 0.0024, 0.0021, 0.0021, 0.0012, 0.001, 0.0009]"
105,TTR_combined_GP,1,1,18,18,['TTR'],"['SOCS3', 'IL1B', 'MMP1', 'CXCR4', 'SERPINE1', 'ID2', 'TNFAIP3', 'EGFR', 'LEF1', 'CDK6', 'RUNX1', 'TNC', 'HES1', 'CCL5', 'CDH1', 'CCL20', 'THBS1', 'SOX9']",[0.0011],"[0.3074, 0.0984, 0.095, 0.0917, 0.078, 0.0616, 0.0415, 0.0361, 0.0346, 0.0338, 0.0302, 0.0223, 0.0185, 0.015, 0.0149, 0.0115, 0.0057, 0.0025]"
