,gp_name,n_source_genes,n_non_zero_source_genes,n_target_genes,n_non_zero_target_genes,gp_source_genes,gp_target_genes,gp_source_genes_importances,gp_target_genes_importances
137,Add-on_26_GP,315,155,188,70,"['RRM2', 'MKI67', 'TOP2A', 'TK1', 'TYMS', 'OLFM4', 'PCLAF', 'STMN1', 'HMGB2', 'SLC26A3', 'NUSAP1', 'UBE2C', 'CDCA7', 'LRMP', 'L1TD1', 'MS4A12', 'TMIGD1', 'PTTG1', 'TUBB', 'RETNLB', 'HPGDS', 'SLC26A2', 'RGS13', 'IL17RB', 'CDKN2B', 'PBK', 'EPHB3', 'AQP8', 'TRPM5', 'WFDC2', 'TUBA1A', 'GALNT8', 'PSTPIP2', 'SOX9', 'FYB1', 'SPIB', 'SDCBP2', 'BMX', 'C2orf88', 'GPRIN3', 'SH2D6', 'SLC12A2', 'HEPACAM2', 'STXBP6', 'SH2D7', 'RAP1GAP', 'IMPDH2', 'KLK1', 'ANXA13', 'SELENBP1', 'BRCA2', 'FOXA3', 'C1QBP', 'SOX4', 'ITLN1', 'GPX2', 'RGMB', 'CDK6', 'PDGFRA', 'IRF8', 'MUC12', 'CA2', 'PRDX4', 'CA1', 'TOX', 'TKT', 'CA4', 'TNFRSF25', 'HRCT1', 'ADRA2A', 'FERMT1', 'IFI27', 'ODF2L', 'KRTCAP3', 'INSM1', 'ANO7', 'PPP1R1B', 'EBPL', 'CTSB', 'ZEB2', 'RUNX1', 'RAB26', 'CDH19', 'HES6', 'SCG2', 'MAF', 'ATOH1', 'TAGLN', 'FZD7', 'RNF43', 'HTR3E', 'CES2', 'AVIL', 'SMIM14', 'ID2', 'REG4', 'CCDC80', 'CHP2', 'SEC11C', 'CLCA1', 'FABP2', 'PIGR', 'CHGA', 'GNA11', 'MLPH', 'CPA3', 'ASCL2', 'KRT8', 'SCNN1A', 'CDHR5', 'BEST2', 'CKAP4', 'GPRC5C', 'ADH1C', 'LGR5', 'LGALS2', 'TBC1D4', 'HES1', 'GALNT5', 'RUNX1T1', 'RORA', 'UGT2A3', 'MYH14', 'RORC', 'MS4A8', 'PROX1', 'BEST4', 'MBP', 'SCGN', 'FKBP11', 'CMBL', 'CREB3L1', 'REP15', 'ACTA2', 'C7', 'CYB5R3', 'AKR1C3', 'MS4A1', 'ABCA8', 'PLCE1', 'CALB2', 'IER5', 'PTGER4', 'CFTR', 'LEPROTL1', 'BCAS1', 'CEP126', 'DOCK10', 'PKHD1L1', 'NXPE4', 'NET1', 'UGT2B17', 'SULT1B1', 'SOX6', 'CLCA4', 'VWA5B2', 'VPREB3', 'TRGV4', 'TRDV1', 'TRBC2', 'TRBC1', 'TRAT1', 'TRAC', 'TNFRSF17', 'TNFAIP3', 'TMEM61', 'TCL1A', 'TCF21', 'SVOPL', 'SPOCK2', 'SPDEF', 'SOD3', 'SOCS3', 'SMOC2', 'SMIM6', 'SLC29A4', 'SIT1', 'SFXN1', 'SELENOM', 'SELENOK', 'SCG5', 'SCG3', 'S100P', 'RPS4Y1', 'ROBO2', 'RNASE1', 'RIIAD1', 'RHOV', 'RGS5', 'RFX6', 'RBFOX3', 'RAB3B', 'PTPRB', 'PRPH', 'PRF1', 'PLXND1', 'PLVAP', 'PLPP2', 'PLN', 'PI3', 'PDZK1IP1', 'PDGFRB', 'PDE4C', 'PDCD1', 'PCDH11X', 'PAX5', 'PAX4', 'OTOP2', 'NOVA1', 'NOTCH3', 'NOSIP', 'NKX2-2', 'NKG7', 'NEUROD1', 'MT1A', 'MSLN', 'MS4A7', 'MS4A2', 'MMP3', 'MEIS2', 'MCEMP1', 'MB', 'MAOB', 'LYVE1', 'LMCD1', 'LILRA4', 'LEF1', 'LCT', 'LAG3', 'KRT86', 'KRT1', 'KLRD1', 'KLRC2', 'KLRB1', 'KIF5C', 'KCNAB1', 'ITK', 'ISL1', 'IL7R', 'IL4I1', 'IL1RL1', 'IL1RAPL1', 'IDO1', 'HHIP', 'HAVCR2', 'GZMK', 'GZMA', 'GREM2', 'GPR183', 'GNPTAB', 'GNLY', 'GIMAP7', 'GATA2', 'FRZB', 'FOXP3', 'FFAR4', 'FEV', 'FCRLA', 'FCRL1', 'F3', 'ETV1', 'ETS1', 'EGFR', 'DUOX2', 'DPYSL3', 'DNASE1L3', 'DNAJC12', 'DMBT1', 'DERL3', 'DEPP1', 'CYBB', 'CXCR5', 'CXCR4', 'CXCR3', 'CXCR2', 'CXCR1', 'CTSE', 'CTNNB1', 'CTLA4', 'CST7', 'CRYBA2', 'CR2', 'CPE', 'CMA1', 'CLEC9A', 'CHRM3', 'CHI3L2', 'CHGB', 'CES1', 'CDK15', 'CD83', 'CD79A', 'CD5', 'CD3G', 'CD3E', 'CD3D', 'CD36', 'CD163', 'CCR7', 'CADPS', 'CA7', 'C1QC', 'BATF', 'BANK1', 'B3GNT6', 'ARX', 'ARHGAP24', 'AQP1', 'ANK2', 'AKR7A3', 'AGTR1', 'AFAP1L2', 'ACKR1', 'ACACB', 'ABCC8']","['MS4A12', 'CD177', 'TMIGD1', 'LRMP', 'SDCBP2', 'HHLA2', 'C2orf88', 'L1TD1', 'CA1', 'IL17RB', 'AQP8', 'EPHB3', 'SLC12A2', 'CA4', 'GCG', 'GPRIN3', 'IMPDH2', 'WFDC2', 'IFI27', 'CDHR5', 'ANXA13', 'CES2', 'HPGDS', 'GALNT8', 'HRCT1', 'RSPO3', 'GNA11', 'LGALS2', 'HEPACAM2', 'REG4', 'PRDX4', 'MUC12', 'STXBP6', 'TKT', 'TOX', 'RGS13', 'EBPL', 'FOXA3', 'CYB5R3', 'WNT5B', 'KRTCAP3', 'BCAS1', 'PPP1R1B', 'UGT2B17', 'SOX6', 'ANO7', 'ODF2L', 'DEPP1', 'MS4A8', 'NET1', 'CDH19', 'SELENOK', 'SMOC2', 'MYH14', 'CD2', 'ANK2', 'GNPTAB', 'RUNX1T1', 'NRXN1', 'SNCA', 'SELENOM', 'CHP2', 'SEC11C', 'TNFRSF25', 'RARRES2', 'LGALS9', 'TRBC2', 'TCF21', 'LYVE1', 'GUCA2B', 'VWA5B2', 'VPREB3', 'UGT2A3', 'UCN3', 'TRPM5', 'TRGV4', 'TRDV1', 'TRAT1', 'TRAC', 'TPSG1', 'TMEM61', 'TIGIT', 'TCL1A', 'SVOPL', 'SPOCK2', 'SPDEF', 'SOD3', 'SMIM6', 'SLC29A4', 'SLC18A2', 'SH2D7', 'SH2D6', 'SFXN1', 'SCGN', 'SCG3', 'RPS4Y1', 'RORC', 'ROBO2', 'ROBO1', 'RNASE1', 'RIIAD1', 'RHOV', 'RGS5', 'RFX6', 'REP15', 'RBFOX3', 'RAB3B', 'RAB26', 'PRPH', 'PROX1', 'PLVAP', 'PKHD1L1', 'PDE4C', 'PCDH11X', 'PAX4', 'PAPLN', 'OTOP2', 'NRG3', 'NOVA1', 'NOSIP', 'NKG7', 'NID1', 'MT1A', 'MS4A7', 'MS4A2', 'MS4A1', 'MLPH', 'MFAP5', 'MCEMP1', 'MB', 'LMCD1', 'LILRA4', 'LEPROTL1', 'KRT1', 'KLRC2', 'KLRB1', 'KIF5C', 'KCNAB1', 'IL1RAPL1', 'ICOS', 'HTR3E', 'HES6', 'HDC', 'GZMK', 'GZMA', 'GNLY', 'GIMAP7', 'GALNT5', 'FKBP11', 'FFAR4', 'FEV', 'FCRLA', 'FCRL1', 'DUOX2', 'DOCK10', 'DNAJC12', 'DERL3', 'CYBB', 'CTSG', 'CTSE', 'CRYBA2', 'CREB3L1', 'CPA3', 'CMA1', 'CLEC9A', 'CLCA1', 'CHI3L2', 'CHGB', 'CHGA', 'CEP126', 'CDK15', 'CD8B', 'CD7', 'CD3G', 'CADM2', 'CA7', 'C1QC', 'C1QA', 'BEST4', 'BEST2', 'BANK1', 'B3GNT6', 'AVIL', 'ASCL2', 'ARX', 'AQP1', 'AKR7A3', 'ABCC8']","[0.0264, 0.0261, 0.0222, 0.0216, 0.0204, 0.0201, 0.0193, 0.0171, 0.0165, 0.0161, 0.0157, 0.0157, 0.0148, 0.0137, 0.0133, 0.0129, 0.0117, 0.0115, 0.0114, 0.0113, 0.0103, 0.0103, 0.0103, 0.0103, 0.0102, 0.0095, 0.0094, 0.0094, 0.0092, 0.009, 0.0088, 0.0088, 0.0079, 0.0079, 0.0077, 0.0077, 0.0077, 0.0072, 0.0072, 0.0071, 0.0071, 0.0067, 0.0066, 0.0065, 0.0063, 0.0063, 0.006, 0.006, 0.0058, 0.0055, 0.0053, 0.0049, 0.0048, 0.0047, 0.0047, 0.0047, 0.0044, 0.0043, 0.0043, 0.0042, 0.0041, 0.0041, 0.004, 0.004, 0.0039, 0.0037, 0.0036, 0.0035, 0.0035, 0.0035, 0.0034, 0.0033, 0.0032, 0.0032, 0.0032, 0.0031, 0.0031, 0.0031, 0.0031, 0.0031, 0.003, 0.0029, 0.0029, 0.0029, 0.0028, 0.0028, 0.0028, 0.0027, 0.0027, 0.0025, 0.0025, 0.0024, 0.0023, 0.0023, 0.0021, 0.002, 0.0019, 0.0019, 0.0018, 0.0017, 0.0017, 0.0017, 0.0016, 0.0016, 0.0016, 0.0016, 0.0015, 0.0015, 0.0015, 0.0014, 0.0013, 0.0012, 0.0012, 0.0012, 0.0011, 0.0011, 0.0011, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0009, 0.0008, 0.0008, 0.0008, 0.0007, 0.0007, 0.0007, 0.0007, 0.0006, 0.0006, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0003, 0.0003, 0.0003, 0.0003, 0.0002, 0.0002, 0.0002, 1e-04, 1e-04, 1e-04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0137, 0.012, 0.0114, 0.0108, 0.0091, 0.0089, 0.0085, 0.0081, 0.0067, 0.0067, 0.0063, 0.006, 0.006, 0.0053, 0.0049, 0.0049, 0.0048, 0.0047, 0.0046, 0.0041, 0.0037, 0.0037, 0.0036, 0.0035, 0.0034, 0.0031, 0.003, 0.0029, 0.0029, 0.0028, 0.0028, 0.0027, 0.0026, 0.0026, 0.0024, 0.0024, 0.0021, 0.0018, 0.0016, 0.0015, 0.0015, 0.0015, 0.0014, 0.0013, 0.0013, 0.0012, 0.0011, 0.0009, 0.0007, 0.0007, 0.0006, 0.0005, 0.0004, 0.0004, 0.0003, 0.0002, 0.0002, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
188,Add-on_77_GP,315,164,188,69,"['CLCA4', 'PPP1R1B', 'AQP8', 'CA4', 'OTOP2', 'GPX2', 'BEST4', 'TMIGD1', 'CFTR', 'CA7', 'SLC26A3', 'DUOX2', 'MS4A12', 'EBPL', 'RGMB', 'ADH1C', 'CDCA7', 'HHIP', 'C2orf88', 'NXPE4', 'TNFAIP3', 'PI3', 'FERMT1', 'DMBT1', 'SOD3', 'IL7R', 'GZMA', 'UGT2B17', 'SLC12A2', 'UGT2A3', 'SDCBP2', 'C1QBP', 'CDKN2B', 'RUNX1T1', 'IMPDH2', 'OLFM4', 'ITLN1', 'SMIM6', 'ARHGAP24', 'AQP1', 'HRCT1', 'PROX1', 'SFXN1', 'IFI27', 'KRTCAP3', 'ABCA8', 'SOX9', 'PDGFRB', 'GNA11', 'ANXA13', 'LRMP', 'CDK6', 'IER5', 'KLRB1', 'CTSB', 'CXCR2', 'PRDX4', 'TKT', 'CKAP4', 'RNF43', 'KRT8', 'GPRIN3', 'PDGFRA', 'B3GNT6', 'CXCR4', 'S100P', 'ADRA2A', 'ZEB2', 'SELENBP1', 'ACTA2', 'RNASE1', 'TUBA1A', 'CLCA1', 'RUNX1', 'TRAC', 'CTNNB1', 'CDHR5', 'LGR5', 'NET1', 'KLK1', 'ID2', 'CTSE', 'SLC26A2', 'EPHB3', 'CES2', 'EGFR', 'MS4A1', 'SOCS3', 'CD79A', 'BCAS1', 'CREB3L1', 'BANK1', 'CHGA', 'HES1', 'TBC1D4', 'PTPRB', 'HAVCR2', 'MAOB', 'ANO7', 'LAG3', 'AKR7A3', 'HPGDS', 'TCF21', 'RBFOX3', 'SCNN1A', 'SOX4', 'SELENOK', 'RORC', 'NOTCH3', 'RAB3B', 'MS4A8', 'AGTR1', 'TOX', 'GALNT5', 'IL17RB', 'CD83', 'TYMS', 'NKG7', 'GNLY', 'PLCE1', 'SIT1', 'L1TD1', 'SMOC2', 'LGALS2', 'RGS5', 'TAGLN', 'SCG2', 'DOCK10', 'CES1', 'PLVAP', 'MAF', 'PRF1', 'KLRC2', 'TNFRSF25', 'RAP1GAP', 'CD163', 'RETNLB', 'DPYSL3', 'IDO1', 'CEP126', 'CD36', 'IRF8', 'ASCL2', 'CA2', 'ODF2L', 'SMIM14', 'MSLN', 'FFAR4', 'DNASE1L3', 'FKBP11', 'CD3G', 'PIGR', 'CPA3', 'LILRA4', 'CLEC9A', 'MYH14', 'CYBB', 'PCLAF', 'MS4A7', 'CD3E', 'BEST2', 'SPIB', 'CHP2', 'C1QC', 'WFDC2', 'VWA5B2', 'VPREB3', 'UBE2C', 'TUBB', 'TRPM5', 'TRGV4', 'TRDV1', 'TRBC2', 'TRBC1', 'TRAT1', 'TOP2A', 'TNFRSF17', 'TMEM61', 'TK1', 'TCL1A', 'SVOPL', 'SULT1B1', 'STXBP6', 'STMN1', 'SPOCK2', 'SPDEF', 'SOX6', 'SLC29A4', 'SH2D7', 'SH2D6', 'SELENOM', 'SEC11C', 'SCGN', 'SCG5', 'SCG3', 'RRM2', 'RPS4Y1', 'RORA', 'ROBO2', 'RIIAD1', 'RHOV', 'RGS13', 'RFX6', 'REP15', 'REG4', 'RAB26', 'PTTG1', 'PTGER4', 'PSTPIP2', 'PRPH', 'PLXND1', 'PLPP2', 'PLN', 'PKHD1L1', 'PDZK1IP1', 'PDE4C', 'PDCD1', 'PCDH11X', 'PBK', 'PAX5', 'PAX4', 'NUSAP1', 'NOVA1', 'NOSIP', 'NKX2-2', 'NEUROD1', 'MUC12', 'MT1A', 'MS4A2', 'MMP3', 'MLPH', 'MKI67', 'MEIS2', 'MCEMP1', 'MBP', 'MB', 'LYVE1', 'LMCD1', 'LEPROTL1', 'LEF1', 'LCT', 'KRT86', 'KRT1', 'KLRD1', 'KIF5C', 'KCNAB1', 'ITK', 'ISL1', 'INSM1', 'IL4I1', 'IL1RL1', 'IL1RAPL1', 'HTR3E', 'HMGB2', 'HES6', 'HEPACAM2', 'GZMK', 'GREM2', 'GPRC5C', 'GPR183', 'GNPTAB', 'GIMAP7', 'GATA2', 'GALNT8', 'FZD7', 'FYB1', 'FRZB', 'FOXP3', 'FOXA3', 'FEV', 'FCRLA', 'FCRL1', 'FABP2', 'F3', 'ETV1', 'ETS1', 'DNAJC12', 'DERL3', 'DEPP1', 'CYB5R3', 'CXCR5', 'CXCR3', 'CXCR1', 'CTLA4', 'CST7', 'CRYBA2', 'CR2', 'CPE', 'CMBL', 'CMA1', 'CHRM3', 'CHI3L2', 'CHGB', 'CDK15', 'CDH19', 'CD5', 'CD3D', 'CCR7', 'CCDC80', 'CALB2', 'CADPS', 'CA1', 'C7', 'BRCA2', 'BMX', 'BATF', 'AVIL', 'ATOH1', 'ARX', 'ANK2', 'AKR1C3', 'AFAP1L2', 'ACKR1', 'ACACB', 'ABCC8']","['GUCA2B', 'AQP8', 'CA4', 'PPP1R1B', 'OTOP2', 'TMIGD1', 'BEST4', 'CA7', 'DUOX2', 'MS4A12', 'C2orf88', 'CD177', 'SDCBP2', 'HHLA2', 'SFXN1', 'SLC12A2', 'HRCT1', 'IFI27', 'GZMA', 'IMPDH2', 'GNA11', 'UGT2B17', 'SOD3', 'BCAS1', 'UGT2A3', 'EBPL', 'NET1', 'CDHR5', 'CLCA1', 'RUNX1T1', 'SMIM6', 'CES2', 'PAPLN', 'MS4A8', 'SELENOK', 'RBFOX3', 'PRDX4', 'TKT', 'KRTCAP3', 'IL17RB', 'RNASE1', 'CTSE', 'LRMP', 'AQP1', 'MYH14', 'ANXA13', 'WNT5B', 'REP15', 'CD3G', 'LEPROTL1', 'NOVA1', 'GPRIN3', 'CREB3L1', 'GNPTAB', 'SNCA', 'CYB5R3', 'PLVAP', 'MUC12', 'REG4', 'GCG', 'PROX1', 'TRBC2', 'EPHB3', 'TOX', 'CHP2', 'CA1', 'SOX6', 'SEC11C', 'LGALS9', 'WFDC2', 'VWA5B2', 'VPREB3', 'UCN3', 'TRPM5', 'TRGV4', 'TRDV1', 'TRAT1', 'TRAC', 'TPSG1', 'TNFRSF25', 'TMEM61', 'TIGIT', 'TCL1A', 'TCF21', 'SVOPL', 'STXBP6', 'SPOCK2', 'SPDEF', 'SMOC2', 'SLC29A4', 'SLC18A2', 'SH2D7', 'SH2D6', 'SELENOM', 'SCGN', 'SCG3', 'RSPO3', 'RPS4Y1', 'RORC', 'ROBO2', 'ROBO1', 'RIIAD1', 'RHOV', 'RGS5', 'RGS13', 'RFX6', 'RARRES2', 'RAB3B', 'RAB26', 'PRPH', 'PKHD1L1', 'PDE4C', 'PCDH11X', 'PAX4', 'ODF2L', 'NRXN1', 'NRG3', 'NOSIP', 'NKG7', 'NID1', 'MT1A', 'MS4A7', 'MS4A2', 'MS4A1', 'MLPH', 'MFAP5', 'MCEMP1', 'MB', 'LYVE1', 'LMCD1', 'LILRA4', 'LGALS2', 'L1TD1', 'KRT1', 'KLRC2', 'KLRB1', 'KIF5C', 'KCNAB1', 'IL1RAPL1', 'ICOS', 'HTR3E', 'HPGDS', 'HES6', 'HEPACAM2', 'HDC', 'GZMK', 'GNLY', 'GIMAP7', 'GALNT8', 'GALNT5', 'FOXA3', 'FKBP11', 'FFAR4', 'FEV', 'FCRLA', 'FCRL1', 'DOCK10', 'DNAJC12', 'DERL3', 'DEPP1', 'CYBB', 'CTSG', 'CRYBA2', 'CPA3', 'CMA1', 'CLEC9A', 'CHI3L2', 'CHGB', 'CHGA', 'CEP126', 'CDK15', 'CDH19', 'CD8B', 'CD7', 'CD2', 'CADM2', 'C1QC', 'C1QA', 'BEST2', 'BANK1', 'B3GNT6', 'AVIL', 'ASCL2', 'ARX', 'ANO7', 'ANK2', 'AKR7A3', 'ABCC8']","[0.0205, 0.0197, 0.0187, 0.0184, 0.0174, 0.0172, 0.0153, 0.0141, 0.013, 0.0129, 0.0119, 0.0115, 0.0114, 0.0109, 0.0107, 0.0103, 0.01, 0.0095, 0.0093, 0.0087, 0.0079, 0.0077, 0.0076, 0.0076, 0.0076, 0.0076, 0.0075, 0.0074, 0.0072, 0.0071, 0.007, 0.0069, 0.0069, 0.0069, 0.0068, 0.0066, 0.0066, 0.0065, 0.006, 0.0059, 0.0058, 0.0058, 0.0057, 0.0056, 0.0056, 0.0054, 0.0052, 0.005, 0.005, 0.0049, 0.0047, 0.0046, 0.0045, 0.004, 0.004, 0.004, 0.0038, 0.0036, 0.0036, 0.0036, 0.0036, 0.0036, 0.0036, 0.0035, 0.0035, 0.0034, 0.0034, 0.0034, 0.0033, 0.0033, 0.0033, 0.0033, 0.0033, 0.0032, 0.0032, 0.0031, 0.0031, 0.0031, 0.003, 0.0029, 0.0029, 0.0028, 0.0028, 0.0027, 0.0027, 0.0027, 0.0025, 0.0026, 0.0025, 0.0025, 0.0024, 0.0024, 0.0024, 0.0023, 0.0023, 0.0022, 0.0022, 0.0022, 0.0021, 0.0021, 0.0021, 0.0021, 0.002, 0.0018, 0.0018, 0.0017, 0.0017, 0.0017, 0.0014, 0.0014, 0.0013, 0.0013, 0.0012, 0.0012, 0.0012, 0.0012, 0.0011, 0.001, 0.001, 0.001, 0.001, 0.0009, 0.0009, 0.0009, 0.0009, 0.0009, 0.0009, 0.0009, 0.0008, 0.0008, 0.0008, 0.0007, 0.0007, 0.0006, 0.0006, 0.0006, 0.0006, 0.0005, 0.0005, 0.0004, 0.0003, 0.0003, 0.0003, 0.0003, 0.0002, 0.0002, 0.0002, 0.0002, 0.0002, 0.0002, 0.0002, 1e-04, 1e-04, 1e-04, 1e-04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.023, 0.0189, 0.0184, 0.0168, 0.0155, 0.0148, 0.0145, 0.0139, 0.0113, 0.0112, 0.0099, 0.0096, 0.0084, 0.0074, 0.0072, 0.0065, 0.0063, 0.0062, 0.006, 0.0058, 0.0057, 0.0054, 0.0052, 0.0042, 0.0039, 0.0039, 0.0039, 0.0039, 0.0037, 0.0037, 0.0035, 0.0034, 0.0034, 0.0029, 0.0028, 0.0028, 0.0028, 0.0027, 0.0026, 0.0026, 0.0026, 0.0026, 0.0019, 0.0018, 0.0018, 0.0018, 0.0016, 0.0014, 0.0014, 0.0013, 0.0011, 0.0011, 0.0011, 0.0011, 0.0007, 0.0006, 0.0005, 0.0003, 0.0002, 0.0002, 1e-04, 1e-04, 1e-04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,ICOS_ligand_receptor_GP,1,1,1,1,['ICOS'],['CD40LG'],[0.1068],[0.8932]
