group,n,centroid_dist,boot_mean,boot_ci_lo,boot_ci_hi,median_cell_dist
fetal_1tri_stem_cells,3707,2.898115,2.89766788482666,2.875601291656494,2.9189980030059814,3.8220179080963135
Distal progenitor,188,3.9727182,3.9769842624664307,3.8984105587005615,4.052331447601318,4.681405544281006
Proximal progenitor,14441,4.02197,4.022373199462891,4.012235641479492,4.031879901885986,4.6914963722229
Enterocyte,11268,4.929832,4.929900646209717,4.9174065589904785,4.944295406341553,5.5223517417907715
TA,6603,4.963153,4.96504020690918,4.946377754211426,4.98612117767334,5.744314670562744
Colonocyte,3107,6.1421323,6.1435546875,6.11710262298584,6.169672012329102,6.630809307098389
