group,n,centroid_dist,boot_mean,boot_ci_lo,boot_ci_hi,median_cell_dist
fetal_2tri_stem_cells,3601,2.7067008,2.707023859024048,2.6830668449401855,2.7297592163085938,3.7487547397613525
Proximal progenitor,2733,3.8395617,3.8402602672576904,3.819077968597412,3.8638129234313965,4.700078010559082
TA,1685,4.9064417,4.907327175140381,4.856524467468262,4.956325531005859,5.872529983520508
Enterocyte,9855,4.9434447,4.944819450378418,4.92870569229126,4.962805271148682,5.6694488525390625
Colonocyte,6426,6.131572,6.132239818572998,6.117332935333252,6.148759841918945,6.617651462554932
